longname
"Tsawwassen Town, Greater Vancouver Regional district, British Columbia, Canada"
"Logan Lake District Municipality, Thompson-Nicola Regional district, British Columbia, Canada"
"Nominingue Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Saint-Alexandre-de-Kamouraska Municipalité, Kamouraska CRM, Quebec, Canada"
"Sainte-Geneviève-de-Berthier Municipalité, D'Autray CRM, Quebec, Canada"
"Mansfield-et-Pontefract Municipalité, Pontiac CRM, Quebec, Canada"
"Paquetville Parish, Gloucester County, New Brunswick, Canada"
"East Broughton Municipalité, Les Appalaches CRM, Quebec, Canada"
"Fort Smith Town, Region 5 Region, Northwest Territories, Canada"
"Saint-Marc-sur-Richelieu Municipalité, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Central Kootenay A Regional District Electoral Area, Central Kootenay Regional district, British Columbia, Canada"
"Neebing Municipality, Thunder Bay District, Ontario, Canada"
"Burin Town, Division No. 2, Newfoundland and Labrador, Canada"
"Central Manitoulin Municipality, Manitoulin District, Ontario, Canada"
"Deschambault-Grondines Municipalité, Portneuf CRM, Quebec, Canada"
"Minto Village, Queens County, New Brunswick, Canada"
"Madoc Township, Hastings County, Ontario, Canada"
"Okanagan-Similkameen H Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Split Lake 171 Indian Reserve, Division No. 22, Manitoba, Canada"
"Alberton Fire District, Prince County, Prince Edward Island, Canada"
"Hatley Canton, Memphrémagog CRM, Quebec, Canada"
"West Interlake Municipality, Division No. 18, Manitoba, Canada"
"Pennfield Parish, Charlotte County, New Brunswick, Canada"
"Division No. 9, Subd. C, Division No. 9, Newfoundland and Labrador, Canada"
"Woodstock Parish, Carleton County, New Brunswick, Canada"
"Opaskwayak Cree Nation 21E Indian Reserve, Division No. 21, Manitoba, Canada"
"Hardwicke Parish, Northumberland County, New Brunswick, Canada"
"Wendake Indian Reserve, Québec Territory, Quebec, Canada"
"qathet C Regional District Electoral Area, Powell River Regional district, British Columbia, Canada"
"Sainte-Cécile-de-Milton Municipalité, La Haute-Yamaska CRM, Quebec, Canada"
"Seekaskootch 119 Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Hinchinbrooke Municipalité, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Calmar Town, Division No. 11, Alberta, Canada"
"Albanel Municipalité, Maria-Chapdelaine CRM, Quebec, Canada"
"Kelsey Rural Municipality, Division No. 21, Manitoba, Canada"
"St. Anthony Town, Division No. 9, Newfoundland and Labrador, Canada"
"Saint-Gédéon Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Maple Creek Town, Division No. 4, Saskatchewan, Canada"
"Upper Miramichi Rural Community, Northumberland County, New Brunswick, Canada"
"Sainte-Béatrix Municipalité, Matawinie CRM, Quebec, Canada"
"Northesk Parish, Northumberland County, New Brunswick, Canada"
"Nanton Town, Division No. 3, Alberta, Canada"
"Division No. 22, Unorganized, Division No. 22, Manitoba, Canada"
"Prairie View Municipality, Division No. 15, Manitoba, Canada"
"St. Mary's Municipal District, Guysborough County, Nova Scotia, Canada"
"Papineauville Municipalité, Papineau CRM, Quebec, Canada"
"Grand Bank Town, Division No. 2, Newfoundland and Labrador, Canada"
"Causapscal Ville, La Matapédia CRM, Quebec, Canada"
"Bonfield Township, Nipissing District, Ontario, Canada"
"Sainte-Anne-de-Sabrevois Paroisse, Le Haut-Richelieu CRM, Quebec, Canada"
"Saint-Paul-de-l'Île-aux-Noix Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Saint-Quentin Town, Restigouche County, New Brunswick, Canada"
"Okanagan-Similkameen A Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Valcourt Ville, Le Val-Saint-François CRM, Quebec, Canada"
"Saint-Gervais Municipalité, Bellechasse CRM, Quebec, Canada"
"Dauphin Rural Municipality, Division No. 17, Manitoba, Canada"
"Biggar Town, Division No. 12, Saskatchewan, Canada"
"Puvirnituq Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Fort Alexander 3 Indian Reserve, Division No. 19, Manitoba, Canada"
"Twillingate Town, Division No. 8, Newfoundland and Labrador, Canada"
"Redwater Town, Division No. 11, Alberta, Canada"
"Westfield Parish, Kings County, New Brunswick, Canada"
"Pierreville Municipalité, Nicolet-Yamaska CRM, Quebec, Canada"
"Dundurn No. 314 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Sandy Lake 88 Indian Reserve, Kenora District, Ontario, Canada"
"Drummond Parish, Victoria County, New Brunswick, Canada"
"Saint-Gédéon-de-Beauce Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Canora Town, Division No. 9, Saskatchewan, Canada"
"Fraser Valley D Regional District Electoral Area, Fraser Valley Regional district, British Columbia, Canada"
"Okanagan-Similkameen F Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Saint-Blaise-sur-Richelieu Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Lebel-sur-Quévillon Ville, Nord-du-Québec CDR, Quebec, Canada"
"Wasagamack Indian Reserve, Division No. 22, Manitoba, Canada"
"Saint-Barthélemy Paroisse, D'Autray CRM, Quebec, Canada"
"Penticton 1 Indian Reserve, Okanagan-Similkameen Regional district, British Columbia, Canada"
"L'Ascension-de-Notre-Seigneur Paroisse, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Provost No. 52 Municipal District, Division No. 7, Alberta, Canada"
"Saint-Liguori Municipalité, Montcalm CRM, Quebec, Canada"
"Ucluelet District Municipality, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Lumby Village, North Okanagan Regional district, British Columbia, Canada"
"Pouch Cove Town, Division No. 1, Newfoundland and Labrador, Canada"
"Richibucto 15 Indian Reserve, Kent County, New Brunswick, Canada"
"Baker Lake Hamlet, Kivalliq Region, Nunavut, Canada"
"Britannia No. 502 Rural Municipality, Division No. 17, Saskatchewan, Canada"
"Cochrane, Unorganized, North Part Unorganized, Cochrane District, Ontario, Canada"
"Igloolik Hamlet, Qikiqtaaluk Region, Nunavut, Canada"
"Saint Andrews Town, Charlotte County, New Brunswick, Canada"
"Upton Municipalité, Acton CRM, Quebec, Canada"
"Cross Lake 19A Indian Reserve, Division No. 22, Manitoba, Canada"
"Tofield Town, Division No. 10, Alberta, Canada"
"Fogo Island Town, Division No. 8, Newfoundland and Labrador, Canada"
"Bow Island Town, Division No. 1, Alberta, Canada"
"Sainte-Anne-de-la-Pérade Municipalité, Francheville CDR, Quebec, Canada"
"Saint-Nazaire Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Louise Municipality, Division No. 4, Manitoba, Canada"
"Saint-Charles Parish, Kent County, New Brunswick, Canada"
"New-Wes-Valley Town, Division No. 7, Newfoundland and Labrador, Canada"
"Okanagan-Similkameen E Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Potton Canton, Memphrémagog CRM, Quebec, Canada"
"East Kootenay B Regional District Electoral Area, East Kootenay Regional district, British Columbia, Canada"
"Saint-Esprit Municipalité, Montcalm CRM, Quebec, Canada"
"Mashteuiatsh Indian Reserve, Le Domaine-du-Roy CRM, Quebec, Canada"
"Saint-Ferdinand Municipalité, L'Érable CRM, Quebec, Canada"
"Digby Town, Digby County, Nova Scotia, Canada"
"Communauté Atikamekw de Manawan Indian Reserve, Matawinie CRM, Quebec, Canada"
"Squamish-Lillooet C Regional District Electoral Area, Squamish-Lillooet Regional district, British Columbia, Canada"
"Richibucto Parish, Kent County, New Brunswick, Canada"
"Blackville Parish, Northumberland County, New Brunswick, Canada"
"Hemmingford Canton, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Swift Current No. 137 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Obedjiwan 28 Indian Reserve, La Tuque Territory, Quebec, Canada"
"Saint Mary Parish, Kent County, New Brunswick, Canada"
"Paintearth County No. 18 Municipal District, Division No. 7, Alberta, Canada"
"Barraute Municipalité, Abitibi CRM, Quebec, Canada"
"Kedgwick Rural Community, Restigouche County, New Brunswick, Canada"
"Kingsey Falls Ville, Arthabaska CRM, Quebec, Canada"
"Blucher No. 343 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Alberni-Clayoquot F Regional District Electoral Area, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Morris Town, Division No. 3, Manitoba, Canada"
"Manitouwadge Township, Thunder Bay District, Ontario, Canada"
"Fort Qu'Appelle Town, Division No. 6, Saskatchewan, Canada"
"Lac-Supérieur Municipalité, Les Laurentides CRM, Quebec, Canada"
"Dawn-Euphemia Township, Lambton County, Ontario, Canada"
"Lumsden No. 189 Rural Municipality, Division No. 6, Saskatchewan, Canada"
"Armstrong Rural Municipality, Division No. 18, Manitoba, Canada"
"Caplan Municipalité, Bonaventure CRM, Quebec, Canada"
"Kent Parish, Carleton County, New Brunswick, Canada"
"Wabush Town, Division No. 10, Newfoundland and Labrador, Canada"
"Saint-Patrice-de-Sherrington Municipalité, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Fruitvale Village, Kootenay Boundary Regional district, British Columbia, Canada"
"Petit-Rocher Village, Gloucester County, New Brunswick, Canada"
"Saint-Louis-de-Gonzague Paroisse, Beauharnois-Salaberry CRM, Quebec, Canada"
"Allardville Parish, Gloucester County, New Brunswick, Canada"
"Glovertown Town, Division No. 7, Newfoundland and Labrador, Canada"
"Chapleau Township, Sudbury District, Ontario, Canada"
"Saint-Élie-de-Caxton Municipalité, Maskinongé CRM, Quebec, Canada"
"Frontenac Islands Township, Frontenac County, Ontario, Canada"
"Picture Butte Town, Division No. 2, Alberta, Canada"
"Point Edward Village, Lambton County, Ontario, Canada"
"Oakview Rural Municipality, Division No. 15, Manitoba, Canada"
"One Hundred Mile House District Municipality, Cariboo Regional district, British Columbia, Canada"
"Manners Sutton Parish, York County, New Brunswick, Canada"
"Déléage Municipalité, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Harrison Hot Springs Village, Fraser Valley Regional district, British Columbia, Canada"
"Indian Head Town, Division No. 6, Saskatchewan, Canada"
"Provost Town, Division No. 7, Alberta, Canada"
"Venise-en-Québec Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Saint-François-du-Lac Municipalité, Nicolet-Yamaska CRM, Quebec, Canada"
"Saint-Fulgence Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Tofino District Municipality, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Saint-Damien-de-Buckland Paroisse, Bellechasse CRM, Quebec, Canada"
"Millet Town, Division No. 11, Alberta, Canada"
"Terrasse-Vaudreuil Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Cariboo H Regional District Electoral Area, Cariboo Regional district, British Columbia, Canada"
"Orkney No. 244 Rural Municipality, Division No. 9, Saskatchewan, Canada"
"Stanley 157 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Mattawa Town, Nipissing District, Ontario, Canada"
"East Kootenay A Regional District Electoral Area, East Kootenay Regional district, British Columbia, Canada"
"Northampton Parish, Carleton County, New Brunswick, Canada"
"Middleton Town, Annapolis County, Nova Scotia, Canada"
"Division No. 18, Unorganized, Division No. 18, Saskatchewan, Canada"
"Saint-Michel-de-Bellechasse Municipalité, Bellechasse CRM, Quebec, Canada"
"Cross Lake 19 Indian Reserve, Division No. 22, Manitoba, Canada"
"Vallée-Jonction Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Huron Shores Municipality, Algoma District, Ontario, Canada"
"Special Area No. 2 Special Area, Division No. 4, Alberta, Canada"
"Crossroads Fire District, Queens County, Prince Edward Island, Canada"
"Division No. 7, Subd. M, Division No. 7, Newfoundland and Labrador, Canada"
"Harrison Park Municipality, Division No. 15, Manitoba, Canada"
"Saint-Stanislas-de-Kostka Municipalité, Beauharnois-Salaberry CRM, Quebec, Canada"
"Cacouna Municipalité, Rivière-du-Loup CRM, Quebec, Canada"
"Duck Lake 7 Indian Reserve, Central Okanagan Regional district, British Columbia, Canada"
"Saint-Ignace-de-Loyola Municipalité, D'Autray CRM, Quebec, Canada"
"Fisher Rural Municipality, Division No. 18, Manitoba, Canada"
"Eel River Crossing Village, Restigouche County, New Brunswick, Canada"
"Alberni-Clayoquot D Regional District Electoral Area, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Piney Rural Municipality, Division No. 1, Manitoba, Canada"
"Kippens Town, Division No. 4, Newfoundland and Labrador, Canada"
"Watrous Town, Division No. 11, Saskatchewan, Canada"
"Yellowhead Rural Municipality, Division No. 15, Manitoba, Canada"
"New Songhees 1A Indian Reserve, Capital Regional district, British Columbia, Canada"
"Pelican Narrows 184B Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Saint-Fabien Paroisse, Rimouski-Neigette CRM, Quebec, Canada"
"Sainte-Angèle-de-Monnoir Municipalité, Rouville CRM, Quebec, Canada"
"Sainte-Justine Municipalité, Les Etchemins CRM, Quebec, Canada"
"Enoch Cree Nation Indian Reserve, Division No. 11, Alberta, Canada"
"Inukjuak Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"Saint-Cuthbert Municipalité, D'Autray CRM, Quebec, Canada"
"Starland County Municipal District, Division No. 5, Alberta, Canada"
"Saint-Joseph-de-Coleraine Municipalité, Les Appalaches CRM, Quebec, Canada"
"Carberry Town, Division No. 7, Manitoba, Canada"
"Pointe-Lebel Village, Manicouagan CRM, Quebec, Canada"
"Gambo Town, Division No. 7, Newfoundland and Labrador, Canada"
"Grenville Village, Argenteuil CRM, Quebec, Canada"
"Wabana Town, Division No. 1, Newfoundland and Labrador, Canada"
"Saint-Robert Municipalité, Pierre-De Saurel CRM, Quebec, Canada"
"Kensington Town, Prince County, Prince Edward Island, Canada"
"Notre-Dame-des-Pins Paroisse, Beauce-Sartigan CRM, Quebec, Canada"
"Frontenac Municipalité, Le Granit CRM, Quebec, Canada"
"Wellington Fire District, Prince County, Prince Edward Island, Canada"
"Champlain Municipalité, Francheville CDR, Quebec, Canada"
"Saint-Pacôme Municipalité, Kamouraska CRM, Quebec, Canada"
"La Guadeloupe Village, Beauce-Sartigan CRM, Quebec, Canada"
"Cowichan Valley F Regional District Electoral Area, Cowichan Valley Regional district, British Columbia, Canada"
"Riverdale Municipality, Division No. 7, Manitoba, Canada"
"Saint-Lucien Municipalité, Drummond CRM, Quebec, Canada"
"Saint-Narcisse Paroisse, Francheville CDR, Quebec, Canada"
"Lumsden Town, Division No. 6, Saskatchewan, Canada"
"Tignish Fire District, Prince County, Prince Edward Island, Canada"
"Thompson-Nicola J (Copper Desert Country) Regional District Electoral Area, Thompson-Nicola Regional district, British Columbia, Canada"
"Sainte-Marcelline-de-Kildare Municipalité, Matawinie CRM, Quebec, Canada"
"Les Escoumins Municipalité, La Haute-Côte-Nord CRM, Quebec, Canada"
"Nisga'a Nisga'a Land, Kitimat-Stikine Regional district, British Columbia, Canada"
"Saint-André Rural Community, Madawaska County, New Brunswick, Canada"
"Saint-Antoine Village, Kent County, New Brunswick, Canada"
"East Saanich 2 Indian Reserve, Capital Regional district, British Columbia, Canada"
"Central Kootenay K Regional District Electoral Area, Central Kootenay Regional district, British Columbia, Canada"
"Saint-Placide Municipalité, Deux-Montagnes CRM, Quebec, Canada"
"Shaunavon Town, Division No. 4, Saskatchewan, Canada"
"Division No. 8, Subd. H, Division No. 8, Newfoundland and Labrador, Canada"
"Nouvelle Municipalité, Avignon CRM, Quebec, Canada"
"Kamsack Town, Division No. 9, Saskatchewan, Canada"
"Pointe-des-Cascades Village, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Maugerville Parish, Sunbury County, New Brunswick, Canada"
"Norfolk-Treherne Municipality, Division No. 8, Manitoba, Canada"
"Nipissing Township, Parry Sound District, Ontario, Canada"
"Vulcan Town, Division No. 5, Alberta, Canada"
"Saint-Valérien-de-Milton Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Dalmeny Town, Division No. 11, Saskatchewan, Canada"
"Saint-Jacques-le-Mineur Municipalité, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Souris Fire District, Kings County, Prince Edward Island, Canada"
"Tsinstikeptum 10 Indian Reserve, Central Okanagan Regional district, British Columbia, Canada"
"Barriere District Municipality, Thompson-Nicola Regional district, British Columbia, Canada"
"Cambridge Bay Hamlet, Kitikmeot Region, Nunavut, Canada"
"Saint-Louis Parish, Kent County, New Brunswick, Canada"
"Oakland-Wawanesa Municipality, Division No. 7, Manitoba, Canada"
"Balgonie Town, Division No. 6, Saskatchewan, Canada"
"Dudswell Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"Magnetawan Municipality, Parry Sound District, Ontario, Canada"
"Warfield Village, Kootenay Boundary Regional district, British Columbia, Canada"
"Austin Municipalité, Memphrémagog CRM, Quebec, Canada"
