longname,Silent %,Silent % [StatCan],Boomer %,Boomer % [StatCan],Gen X %,Gen X % [StatCan],Millennial %,Millennial % [StatCan],Gen Z %,Gen Z % [StatCan],Gen Alpha %,Gen Alpha % [StatCan]
"Río Negro, Argentina",,,,,,,,,,,,
"Southern Highlands, Papua New Guinea",,,,,,,,,,,,
"Surigao del Norte, Philippines",,,,,,,,,,,,
"Najrān, Saudi Arabia",,,,,,,,,,,,
"Trabzon, Turkey",,,,,,,,,,,,
"Lạng Sơn, Vietnam",,,,,,,,,,,,
"Hà Giang, Vietnam",,,,,,,,,,,,
"Namibe, Angola",,,,,,,,,,,,
"Sar-e Pul, Afghanistan",,,,,,,,,,,,
"Mono, Benin",,,,,,,,,,,,
"Amoron'i Mania, Madagascar",,,,,,,,,,,,
"Kaffrine, Senegal",,,,,,,,,,,,
"Zonguldak, Turkey",,,,,,,,,,,,
"Nyandarua, Kenya",,,,,,,,,,,,
"Sud-Est, Haiti",,,,,,,,,,,,
"Sidi Bel Abbès, Algeria",,,,,,,,,,,,
"Kôti, Japan",,,,,,,,,,,,
"Yumbe, Uganda",,,,,,,,,,,,
"Warrap, South Sudan",,,,,,,,,,,,
"Esmeraldas, Ecuador",,,,,,,,,,,,
"Semnān, Iran",,,,,,,,,,,,
"Abyan, Yemen",,,,,,,,,,,,
"Nur-Sultan, Kazakhstan",,,,,,,,,,,,
"Djibouti, Djibouti",,,,,,,,,,,,
"Donga, Benin",,,,,,,,,,,,
"Al Jawf, Yemen",,,,,,,,,,,,
"Al Baţḩā’, Chad",,,,,,,,,,,,
"Erevan, Armenia",,,,,,,,,,,,
"Bremen, Germany",,,,,,,,,,,,
"Tuyên Quang, Vietnam",,,,,,,,,,,,
"Murmanskaya oblast', Russia",,,,,,,,,,,,
"Matam, Senegal",,,,,,,,,,,,
"West Pokot, Kenya",,,,,,,,,,,,
"Ntcheu, Malawi",,,,,,,,,,,,
"Bujumbura Rural, Burundi",,,,,,,,,,,,
"Matanzas, Cuba",,,,,,,,,,,,
"Plateau, Benin",,,,,,,,,,,,
"Afyonkarahisar, Turkey",,,,,,,,,,,,
"Wardak, Afghanistan",,,,,,,,,,,,
"Bāmyān, Afghanistan",,,,,,,,,,,,
"Sivas, Turkey",,,,,,,,,,,,
"Timiş, Romania",,,,,,,,,,,,
"District of Columbia, USA",0.05009188568915752,,0.17182016578757245,,0.17499104636341542,,0.31702687770193844,,0.17185475819301205,,0.1142152662649042,
"Cibao Nordeste, Dominican Republic",,,,,,,,,,,,
"Žilinský kraj, Slovakia",,,,,,,,,,,,
"Cluj, Romania",,,,,,,,,,,,
"El Oro, Ecuador",,,,,,,,,,,,
"Laghmān, Afghanistan",,,,,,,,,,,,
"Hòa Bình, Vietnam",,,,,,,,,,,,
"Niamey, Niger",,,,,,,,,,,,
"Kouilou, Congo",,,,,,,,,,,,
"Aargau, Switzerland",,,,,,,,,,,,
"Kohgīlūyeh va Bowyer Aḩmad, Iran",,,,,,,,,,,,
"Banjul, The Gambia",,,,,,,,,,,,
"Trujillo, Venezuela",,,,,,,,,,,,
"Agadez, Niger",,,,,,,,,,,,
"Lào Cai, Vietnam",,,,,,,,,,,,
"Vihiga, Kenya",,,,,,,,,,,,
"Itapúa, Paraguay",,,,,,,,,,,,
"Yuma, Dominican Republic",,,,,,,,,,,,
"Plovdiv, Bulgaria",,,,,,,,,,,,
"Nyamira, Kenya",,,,,,,,,,,,
"Ziguinchor, Senegal",,,,,,,,,,,,
"Nitriansky kraj, Slovakia",,,,,,,,,,,,
"Bioko Norte, Equatorial Guinea",,,,,,,,,,,,
"Adıyaman, Turkey",,,,,,,,,,,,
"Aklan, Philippines",,,,,,,,,,,,
"Severnaya Osetiya-Alaniya, Respublika, Russia",,,,,,,,,,,,
"Camarines Norte, Philippines",,,,,,,,,,,,
"Fryslân, Netherlands",,,,,,,,,,,,
"As Suways, Egypt",,,,,,,,,,,,
"Oslo, Norway",,,,,,,,,,,,
"Antique, Philippines",,,,,,,,,,,,
"Higuamo, Dominican Republic",,,,,,,,,,,,
"Ilocos Norte, Philippines",,,,,,,,,,,,
"Ordu, Turkey",,,,,,,,,,,,
"Banskobystrický kraj, Slovakia",,,,,,,,,,,,
"Bari, Somalia",,,,,,,,,,,,
"Enga, Papua New Guinea",,,,,,,,,,,,
"Simane, Japan",,,,,,,,,,,,
"Tororo, Uganda",,,,,,,,,,,,
"Cibitoke, Burundi",,,,,,,,,,,,
"Neuquén, Argentina",,,,,,,,,,,,
"Davao Oriental, Philippines",,,,,,,,,,,,
"Isingiro, Uganda",,,,,,,,,,,,
"Constanţa, Romania",,,,,,,,,,,,
"Harjumaa, Estonia",,,,,,,,,,,,
"Borsod-Abaúj-Zemplén, Hungary",,,,,,,,,,,,
"Surigao del Sur, Philippines",,,,,,,,,,,,
"Mbarara, Uganda",,,,,,,,,,,,
"Al Aḩmadī, Kuwait",,,,,,,,,,,,
"Ruyigi, Burundi",,,,,,,,,,,,
"Mudug, Somalia",,,,,,,,,,,,
"Kampong Thum [Kâmpóng Thum], Cambodia",,,,,,,,,,,,
"Chubut, Argentina",,,,,,,,,,,,
"Batman, Turkey",,,,,,,,,,,,
"Prachin Buri, Thailand",,,,,,,,,,,,
"Sikkim, India",,,,,,,,,,,,
"Mariy El, Respublika, Russia",,,,,,,,,,,,
"Maţrūḩ, Egypt",,,,,,,,,,,,
"Bongolava, Madagascar",,,,,,,,,,,,
"Elazığ, Turkey",,,,,,,,,,,,
"Vermont, USA",0.07445084091419683,,0.2736605301806166,,0.1822425679341336,,0.17793228544821046,,0.1955039036560868,,0.09620987186675564,
"Yaracuy, Venezuela",,,,,,,,,,,,
"Aveiro, Portugal",,,,,,,,,,,,
"Iganga, Uganda",,,,,,,,,,,,
"Wasaţ Dārfūr, Sudan",,,,,,,,,,,,
"Jowzjān, Afghanistan",,,,,,,,,,,,
"Chuquisaca, Bolivia",,,,,,,,,,,,
"Dolj, Romania",,,,,,,,,,,,
"Rīga, Latvia",,,,,,,,,,,,
"Caaguazú, Paraguay",,,,,,,,,,,,
"Madang, Papua New Guinea",,,,,,,,,,,,
"Makamba, Burundi",,,,,,,,,,,,
"Kríti, Greece",,,,,,,,,,,,
"Conakry, Guinea",,,,,,,,,,,,
"Al Buḩayrah, Chad",,,,,,,,,,,,
"Casanare, Colombia",,,,,,,,,,,,
"Hela, Papua New Guinea",,,,,,,,,,,,
"Unity, South Sudan",,,,,,,,,,,,
"Kunaṟ, Afghanistan",,,,,,,,,,,,
"Quảng Trị, Vietnam",,,,,,,,,,,,
"Raymah, Yemen",,,,,,,,,,,,
"Sukhothai, Thailand",,,,,,,,,,,,
"Ağrı, Turkey",,,,,,,,,,,,
"Bratislavský kraj, Slovakia",,,,,,,,,,,,
"Kostromskaya oblast', Russia",,,,,,,,,,,,
"Savannah, Ghana",,,,,,,,,,,,
"Mbale, Uganda",,,,,,,,,,,,
"Bizerte, Tunisia",,,,,,,,,,,,
"Antofagasta, Chile",,,,,,,,,,,,
"Kairouan, Tunisia",,,,,,,,,,,,
"Monastir, Tunisia",,,,,,,,,,,,
"Jihočeský kraj, Czech Republic",,,,,,,,,,,,
"Oruro, Bolivia",,,,,,,,,,,,
"Suchitepéquez, Guatemala",,,,,,,,,,,,
"Yoro, Honduras",,,,,,,,,,,,
"North East, Ghana",,,,,,,,,,,,
"Chanthaburi, Thailand",,,,,,,,,,,,
"Navarra, Comunidad Foral de, Spain",,,,,,,,,,,,
"Vestland, Norway",,,,,,,,,,,,
"Asunción, Paraguay",,,,,,,,,,,,
"Narathiwat, Thailand",,,,,,,,,,,,
"Al Mafraq, Jordan",,,,,,,,,,,,
"Tarija, Bolivia",,,,,,,,,,,,
"Mayuge, Uganda",,,,,,,,,,,,
"Kampot [Kâmpôt], Cambodia",,,,,,,,,,,,
"Nimba, Liberia",,,,,,,,,,,,
"Kāpīsā, Afghanistan",,,,,,,,,,,,
"Western Equatoria, South Sudan",,,,,,,,,,,,
"Şırnak, Turkey",,,,,,,,,,,,
"Kütahya, Turkey",,,,,,,,,,,,
"Olomoucký kraj, Czech Republic",,,,,,,,,,,,
"Canterbury, New Zealand",,,,,,,,,,,,
"Suceava, Romania",,,,,,,,,,,,
"Guelma, Algeria",,,,,,,,,,,,
"Gambēla Hizboch, Ethiopia",,,,,,,,,,,,
"Gaza, State of Palestine",,,,,,,,,,,,
"Paktīkā, Afghanistan",,,,,,,,,,,,
"Kamuli, Uganda",,,,,,,,,,,,
"Ninh Thuận, Vietnam",,,,,,,,,,,,
"Mindoro Occidental, Philippines",,,,,,,,,,,,
"Lunda-Sul, Angola",,,,,,,,,,,,
"Panamá Oest, Panama",,,,,,,,,,,,
"Quindío, Colombia",,,,,,,,,,,,
"Chimbu, Papua New Guinea",,,,,,,,,,,,
"Karuzi, Burundi",,,,,,,,,,,,
"Jiwaka, Papua New Guinea",,,,,,,,,,,,
"Ḩā'il, Saudi Arabia",,,,,,,,,,,,
"Anatolikí Makedonía kai Thráki, Greece",,,,,,,,,,,,
"Kirinyaga, Kenya",,,,,,,,,,,,
"Pskovskaya oblast', Russia",,,,,,,,,,,,
"Argeş, Romania",,,,,,,,,,,,
"Formosa, Argentina",,,,,,,,,,,,
"Lakes, South Sudan",,,,,,,,,,,,
"Ntungamo, Uganda",,,,,,,,,,,,
"Sīlā, Chad",,,,,,,,,,,,
"Salima, Malawi",,,,,,,,,,,,
"Dāykundī, Afghanistan",,,,,,,,,,,,
"Trenčiansky kraj, Slovakia",,,,,,,,,,,,
"Nordjylland, Denmark",,,,,,,,,,,,
"Batys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Sa Kaeo, Thailand",,,,,,,,,,,,
"Loei, Thailand",,,,,,,,,,,,
"Kon Tum, Vietnam",,,,,,,,,,,,
"Saint Andrew, Jamaica",,,,,,,,,,,,
"Çorum, Turkey",,,,,,,,,,,,
"Chişinău, Moldova",,,,,,,,,,,,
"Ouham-Pendé, Central African Republic",,,,,,,,,,,,
"Comayagua, Honduras",,,,,,,,,,,,
"Totonicapán, Guatemala",,,,,,,,,,,,
"Matagalpa, Nicaragua",,,,,,,,,,,,
"Çanakkale, Turkey",,,,,,,,,,,,
"Roraima, Brazil",,,,,,,,,,,,
"Olancho, Honduras",,,,,,,,,,,,
"Lōgar, Afghanistan",,,,,,,,,,,,
"Adrar, Algeria",,,,,,,,,,,,
"Hodh ech Chargui, Mauritania",,,,,,,,,,,,
"Tungurahua, Ecuador",,,,,,,,,,,,
"Bacău, Romania",,,,,,,,,,,,
"Osmaniye, Turkey",,,,,,,,,,,,
"Hajdú-Bihar, Hungary",,,,,,,,,,,,
"Kareliya, Respublika, Russia",,,,,,,,,,,,
"Wyoming, USA",0.06250509415736939,,0.23986501133287522,,0.17388635216712076,,0.20035516031638317,,0.19839553552383438,,0.12499284650241718,
"Pinar del Río, Cuba",,,,,,,,,,,,
"Novgorodskaya oblast', Russia",,,,,,,,,,,,
"Plzeňský kraj, Czech Republic",,,,,,,,,,,,
"Tottori, Japan",,,,,,,,,,,,
"Canelones, Uruguay",,,,,,,,,,,,
"Ihorombe, Madagascar",,,,,,,,,,,,
"Connaught, Ireland",,,,,,,,,,,,
"Atlántida, Honduras",,,,,,,,,,,,
"Szabolcs-Szatmár-Bereg, Hungary",,,,,,,,,,,,
"Rutana, Burundi",,,,,,,,,,,,
"Bihor, Romania",,,,,,,,,,,,
"Bulawayo, Zimbabwe",,,,,,,,,,,,
"Pattani, Thailand",,,,,,,,,,,,
"Groningen, Netherlands",,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,
"Chikwawa, Malawi",,,,,,,,,,,,
"Kärnten, Austria",,,,,,,,,,,,
"East Sepik, Papua New Guinea",,,,,,,,,,,,
"Kyenjojo, Uganda",,,,,,,,,,,,
"Sédhiou, Senegal",,,,,,,,,,,,
"Luwero, Uganda",,,,,,,,,,,,
"Zlínský kraj, Czech Republic",,,,,,,,,,,,
"Trnavský kraj, Slovakia",,,,,,,,,,,,
"Nueva Esparta, Venezuela",,,,,,,,,,,,
"Kamwenge, Uganda",,,,,,,,,,,,
"Hiiraan, Somalia",,,,,,,,,,,,
"Saint Catherine, Jamaica",,,,,,,,,,,,
"Nabatîyé, Lebanon",,,,,,,,,,,,
"Ahafo, Ghana",,,,,,,,,,,,
"Santa Ana, El Salvador",,,,,,,,,,,,
"Hậu Giang, Vietnam",,,,,,,,,,,,
"Salzburg, Austria",,,,,,,,,,,,
"Cartago, Costa Rica",,,,,,,,,,,,
"Wellington, New Zealand",,,,,,,,,,,,
"Kauno apskritis, Lithuania",,,,,,,,,,,,
"Sololá, Guatemala",,,,,,,,,,,,
"Tasmania, Australia",,,,,,,,,,,,
"Nakhon Phanom, Thailand",,,,,,,,,,,,
"Cantabria, Spain",,,,,,,,,,,,
"Khakasiya, Respublika, Russia",,,,,,,,,,,,
"Pelopónnisos, Greece",,,,,,,,,,,,
"Tokat, Turkey",,,,,,,,,,,,
"Grande'Anse, Haiti",,,,,,,,,,,,
"Costa Caribe Norte, Nicaragua",,,,,,,,,,,,
"Nong Bua Lam Phu, Thailand",,,,,,,,,,,,
"Souk Ahras, Algeria",,,,,,,,,,,,
"Trang, Thailand",,,,,,,,,,,,
"Az Zāwiyah, Libya",,,,,,,,,,,,
"Jinotega, Nicaragua",,,,,,,,,,,,
"Mureş, Romania",,,,,,,,,,,,
"Las Tunas, Cuba",,,,,,,,,,,,
"Braşov, Romania",,,,,,,,,,,,
"Samangān, Afghanistan",,,,,,,,,,,,
"Cao Bằng, Vietnam",,,,,,,,,,,,
"Laikipia, Kenya",,,,,,,,,,,,
"Jinja, Uganda",,,,,,,,,,,,
"Kānim, Chad",,,,,,,,,,,,
"Eastern Samar, Philippines",,,,,,,,,,,,
"Maseru, Lesotho",,,,,,,,,,,,
"Královéhradecký kraj, Czech Republic",,,,,,,,,,,,
"Yamalo-Nenentskiy avtonomnyy okrug, Russia",,,,,,,,,,,,
"Uruzgān, Afghanistan",,,,,,,,,,,,
"Santa Bárbara, Honduras",,,,,,,,,,,,
"Caquetá, Colombia",,,,,,,,,,,,
"Phatthalung, Thailand",,,,,,,,,,,,
"Tak, Thailand",,,,,,,,,,,,
"Skopje, North Macedonia",,,,,,,,,,,,
"Haut-Ogooué, Gabon",,,,,,,,,,,,
"Karachayevo-Cherkesskaya Respublika, Russia",,,,,,,,,,,,
"San Luis, Argentina",,,,,,,,,,,,
"Buikwe, Uganda",,,,,,,,,,,,
"Atyraū oblysy, Kazakhstan",,,,,,,,,,,,
"Al Jawf, Saudi Arabia",,,,,,,,,,,,
"Huancavelica, Peru",,,,,,,,,,,,
"Stereá Elláda, Greece",,,,,,,,,,,,
"Heredia, Costa Rica",,,,,,,,,,,,
"Balkan, Turkmenistan",,,,,,,,,,,,
"Basilicata, Italy",,,,,,,,,,,,
"Galguduud, Somalia",,,,,,,,,,,,
"Dirē Dawa, Ethiopia",,,,,,,,,,,,
"Médenine, Tunisia",,,,,,,,,,,,
"Ramallah, State of Palestine",,,,,,,,,,,,
"Kagadi, Uganda",,,,,,,,,,,,
"Gedo, Somalia",,,,,,,,,,,,
"Guantánamo, Cuba",,,,,,,,,,,,
"Khorāsān-e Jonūbī, Iran",,,,,,,,,,,,
"Malta, Malta",,,,,,,,,,,,
"Galaţi, Romania",,,,,,,,,,,,
"Sankt Gallen, Switzerland",,,,,,,,,,,,
"Chiriquí, Panama",,,,,,,,,,,,
"Pirkanmaa, Finland",,,,,,,,,,,,
"Louangphabang, Laos",,,,,,,,,,,,
"Ysyk-Köl, Kyrgyzstan",,,,,,,,,,,,
"Newfoundland and Labrador, Canada",,0.08955226274769422,,0.31232613449697083,,0.20196343025780963,,0.16074728662528895,,0.15271783468338332,,0.08269305118885319
"Sanaag, Somalia",,,,,,,,,,,,
"Waikato, New Zealand",,,,,,,,,,,,
"Chimborazo, Ecuador",,,,,,,,,,,,
"Drenthe, Netherlands",,,,,,,,,,,,
"Izabal, Guatemala",,,,,,,,,,,,
"Elgeyo/Marakwet, Kenya",,,,,,,,,,,,
"Ouham, Central African Republic",,,,,,,,,,,,
"Jutiapa, Guatemala",,,,,,,,,,,,
"Artemisa, Cuba",,,,,,,,,,,,
"Apure, Venezuela",,,,,,,,,,,,
"Pardubický kraj, Czech Republic",,,,,,,,,,,,
"Sonsonate, El Salvador",,,,,,,,,,,,
"Bururi, Burundi",,,,,,,,,,,,
"Khenchela, Algeria",,,,,,,,,,,,
"Jeju-teukbyeoljachido, South Korea",,,,,,,,,,,,
"Salavan, Laos",,,,,,,,,,,,
"National Capital District (Port Moresby), Papua New Guinea",,,,,,,,,,,,
"Bugiri, Uganda",,,,,,,,,,,,
"Bakool, Somalia",,,,,,,,,,,,
"Shamāl Sīnā’, Egypt",,,,,,,,,,,,
"El Paraíso, Honduras",,,,,,,,,,,,
"Lira, Uganda",,,,,,,,,,,,
"Điện Biên, Vietnam",,,,,,,,,,,,
"Loja, Ecuador",,,,,,,,,,,,
"Chocó, Colombia",,,,,,,,,,,,
"Varna, Bulgaria",,,,,,,,,,,,
"Z̧ufār, Oman",,,,,,,,,,,,
"Melaky, Madagascar",,,,,,,,,,,,
"Al Marqab, Libya",,,,,,,,,,,,
"Ingushskaya, Respublika, Russia",,,,,,,,,,,,
"Imereti, Georgia",,,,,,,,,,,,
"Kampong Chhnang [Kâmpóng Chhnang], Cambodia",,,,,,,,,,,,
"Vysočina, Czech Republic",,,,,,,,,,,,
"Ñuble, Chile",,,,,,,,,,,,
"Đắk Nông, Vietnam",,,,,,,,,,,,
"Dâmboviţa, Romania",,,,,,,,,,,,
"Chin, Myanmar",,,,,,,,,,,,
"Bács-Kiskun, Hungary",,,,,,,,,,,,
"Batken, Kyrgyzstan",,,,,,,,,,,,
"Nueva Vizcaya, Philippines",,,,,,,,,,,,
"Cuando Cubango, Angola",,,,,,,,,,,,
"Phichit, Thailand",,,,,,,,,,,,
"Awdal, Somalia",,,,,,,,,,,,
"Western Highlands, Papua New Guinea",,,,,,,,,,,,
"Haute-Sangha/Mambéré-Kadéï, Central African Republic",,,,,,,,,,,,
"Chumphon, Thailand",,,,,,,,,,,,
"Lamphun, Thailand",,,,,,,,,,,,
"Genève, Switzerland",,,,,,,,,,,,
"Oyam, Uganda",,,,,,,,,,,,
"Cotopaxi, Ecuador",,,,,,,,,,,,
"Phrae, Thailand",,,,,,,,,,,,
"Apac, Uganda",,,,,,,,,,,,
"Uttaradit, Thailand",,,,,,,,,,,,
"Maracha, Uganda",,,,,,,,,,,,
"Ghardaïa, Algeria",,,,,,,,,,,,
"Janūb al Bāţinah, Oman",,,,,,,,,,,,
"Naxçıvan, Azerbaijan",,,,,,,,,,,,
"Rogaland, Norway",,,,,,,,,,,,
"Lefkosia [Lefkoşa], Cyprus",,,,,,,,,,,,
"Maramureş, Romania",,,,,,,,,,,,
"Phetchaburi, Thailand",,,,,,,,,,,,
"Ucayali, Peru",,,,,,,,,,,,
"Oudômxai, Laos",,,,,,,,,,,,
"Varsinais-Suomi, Finland",,,,,,,,,,,,
"Khammouan, Laos",,,,,,,,,,,,
"Ben Arous, Tunisia",,,,,,,,,,,,
"Imbabura, Ecuador",,,,,,,,,,,,
"Puntarenas, Costa Rica",,,,,,,,,,,,
"Northern Bahr el-Ghazal, South Sudan",,,,,,,,,,,,
"Kotayk', Armenia",,,,,,,,,,,,
"San Pedro, Paraguay",,,,,,,,,,,,
"Ra's al Khaymah, United Arab Emirates",,,,,,,,,,,,
"Bubanza, Burundi",,,,,,,,,,,,
"Southern Leyte, Philippines",,,,,,,,,,,,
"Gyór-Moson-Sopron, Hungary",,,,,,,,,,,,
"Kasserine, Tunisia",,,,,,,,,,,,
"Faro, Portugal",,,,,,,,,,,,
"Aïn Témouchent, Algeria",,,,,,,,,,,,
"Isparta, Turkey",,,,,,,,,,,,
"Kyegegwa, Uganda",,,,,,,,,,,,
"Choluteca, Honduras",,,,,,,,,,,,
"Sidi Bouzid, Tunisia",,,,,,,,,,,,
"Santo Domingo de los Tsáchilas, Ecuador",,,,,,,,,,,,
"Sakhalinskaya oblast', Russia",,,,,,,,,,,,
"Trøndelag, Norway",,,,,,,,,,,,
"Ciego de Ávila, Cuba",,,,,,,,,,,,
"Costa Caribe Sur, Nicaragua",,,,,,,,,,,,
"Östergötlands län, Sweden",,,,,,,,,,,,
"Sancti Spíritus, Cuba",,,,,,,,,,,,
"El Beni, Bolivia",,,,,,,,,,,,
"San Miguel, El Salvador",,,,,,,,,,,,
"Al Wādī al Jadīd, Egypt",,,,,,,,,,,,
"Nebbi, Uganda",,,,,,,,,,,,
"Al Baḩr al Aḩmar, Egypt",,,,,,,,,,,,
"Al Awsaţ, Eritrea",,,,,,,,,,,,
"Nišavski okrug, Serbia",,,,,,,,,,,,
"Bengo, Angola",,,,,,,,,,,,
"Masaya, Nicaragua",,,,,,,,,,,,
"Leiria, Portugal",,,,,,,,,,,,
"Svaay Rieng [Svay Riĕng], Cambodia",,,,,,,,,,,,
"Īlām, Iran",,,,,,,,,,,,
"Edirne, Turkey",,,,,,,,,,,,
"Flevoland, Netherlands",,,,,,,,,,,,
"Prachuap Khiri Khan, Thailand",,,,,,,,,,,,
"Adygeya, Respublika, Russia",,,,,,,,,,,,
"Buyende, Uganda",,,,,,,,,,,,
"Mahdia, Tunisia",,,,,,,,,,,,
"Kayunga, Uganda",,,,,,,,,,,,
"Splitsko-dalmatinska županija, Croatia",,,,,,,,,,,,
"Al Jahrā’, Kuwait",,,,,,,,,,,,
"Phayao, Thailand",,,,,,,,,,,,
"Cibao Noroeste, Dominican Republic",,,,,,,,,,,,
"Neamţ, Romania",,,,,,,,,,,,
"'Ajmān, United Arab Emirates",,,,,,,,,,,,
"Nord-Est, Haiti",,,,,,,,,,,,
"Fejér, Hungary",,,,,,,,,,,,
"Kakumiro, Uganda",,,,,,,,,,,,
"Limón, Costa Rica",,,,,,,,,,,,
"Chiquimula, Guatemala",,,,,,,,,,,,
"Nan, Thailand",,,,,,,,,,,,
"Buzău, Romania",,,,,,,,,,,,
"Osh Shaary, Kyrgyzstan",,,,,,,,,,,,
"Kaesong Industrial Region, North Korea",,,,,,,,,,,,
"Ileía, Greece",,,,,,,,,,,,
"Enriquillo, Dominican Republic",,,,,,,,,,,,
"Mişrātah, Libya",,,,,,,,,,,,
"Kiruhura, Uganda",,,,,,,,,,,,
"Vestfold og Telemark, Norway",,,,,,,,,,,,
"Xaignabouli, Laos",,,,,,,,,,,,
"Nkhotakota, Malawi",,,,,,,,,,,,
"Catamarca, Argentina",,,,,,,,,,,,
"Salāmāt, Chad",,,,,,,,,,,,
"Liberecký kraj, Czech Republic",,,,,,,,,,,,
"Rumonge, Burundi",,,,,,,,,,,,
"Amnat Charoen, Thailand",,,,,,,,,,,,
"Copán, Honduras",,,,,,,,,,,,
"Al Bāḩah, Saudi Arabia",,,,,,,,,,,,
"Beyrouth, Lebanon",,,,,,,,,,,,
"Ntchisi, Malawi",,,,,,,,,,,,
"Karonga, Malawi",,,,,,,,,,,,
"Los Ríos, Chile",,,,,,,,,,,,
"Busia, Uganda",,,,,,,,,,,,
"Bong, Liberia",,,,,,,,,,,,
"Balaka, Malawi",,,,,,,,,,,,
"Baalbek-Hermel, Lebanon",,,,,,,,,,,,
"Guelmim-Oued Noun (EH-partial), Morocco",,,,,,,,,,,,
"Andjazîdja [Grande Comore], Comoros",,,,,,,,,,,,
"An Nuqāţ al Khams, Libya",,,,,,,,,,,,
"Chinandega, Nicaragua",,,,,,,,,,,,
"Sulu, Philippines",,,,,,,,,,,,
"Ilfov, Romania",,,,,,,,,,,,
"Cienfuegos, Cuba",,,,,,,,,,,,
"Baḩr al Ghazāl, Chad",,,,,,,,,,,,
"Santarém, Portugal",,,,,,,,,,,,
"Cuanza-Norte, Angola",,,,,,,,,,,,
"Nong Khai, Thailand",,,,,,,,,,,,
"La Rioja, Argentina",,,,,,,,,,,,
"Muramvya, Burundi",,,,,,,,,,,,
"Luzern, Switzerland",,,,,,,,,,,,
"Arad, Romania",,,,,,,,,,,,
"Düzce, Turkey",,,,,,,,,,,,
"El Tarf, Algeria",,,,,,,,,,,,
"Olt, Romania",,,,,,,,,,,,
"Zābul, Afghanistan",,,,,,,,,,,,
"Mukdahan, Thailand",,,,,,,,,,,,
"Khomas, Namibia",,,,,,,,,,,,
"Yala, Thailand",,,,,,,,,,,,
"Assaba, Mauritania",,,,,,,,,,,,
"Kvemo Kartli, Georgia",,,,,,,,,,,,
"Gabès, Tunisia",,,,,,,,,,,,
"Tharaka-Nithi, Kenya",,,,,,,,,,,,
"Santa Elena, Ecuador",,,,,,,,,,,,
"Amazonas, Peru",,,,,,,,,,,,
"Aksaray, Turkey",,,,,,,,,,,,
"Apurímac, Peru",,,,,,,,,,,,
"Yamoussoukro, Ivory Coast",,,,,,,,,,,,
"Putumayo, Colombia",,,,,,,,,,,,
"Saïda, Algeria",,,,,,,,,,,,
"Burgas, Bulgaria",,,,,,,,,,,,
"Pohjois-Pohjanmaa, Finland",,,,,,,,,,,,
"Kweneng, Botswana",,,,,,,,,,,,
"Al Ḩudūd ash Shamālīyah, Saudi Arabia",,,,,,,,,,,,
"Santa Cruz, Argentina",,,,,,,,,,,,
"Béqaa, Lebanon",,,,,,,,,,,,
"Jendouba, Tunisia",,,,,,,,,,,,
"Australian Capital Territory, Australia",,,,,,,,,,,,
"Nippes, Haiti",,,,,,,,,,,,
"Uşak, Turkey",,,,,,,,,,,,
"Central, Fiji",,,,,,,,,,,,
"León, Nicaragua",,,,,,,,,,,,
"Tarapacá, Chile",,,,,,,,,,,,
"Csongrád, Hungary",,,,,,,,,,,,
"Masaka, Uganda",,,,,,,,,,,,
"Yasothon, Thailand",,,,,,,,,,,,
"Lofa, Liberia",,,,,,,,,,,,
"Bolikhamxai, Laos",,,,,,,,,,,,
"Gorgol, Mauritania",,,,,,,,,,,,
"Ansabā, Eritrea",,,,,,,,,,,,
"Guadeloupe, France",,,,,,,,,,,,
"Ahuachapán, El Salvador",,,,,,,,,,,,
"Siirt, Turkey",,,,,,,,,,,,
"Giresun, Turkey",,,,,,,,,,,,
"Mwaro, Burundi",,,,,,,,,,,,
"Sevastopol, Ukraine",,,,,,,,,,,,
"Guanacaste, Costa Rica",,,,,,,,,,,,
"Kastamonu, Turkey",,,,,,,,,,,,
"Pousaat [Poŭthĭsăt], Cambodia",,,,,,,,,,,,
"Botoşani, Romania",,,,,,,,,,,,
"Manzini, Eswatini",,,,,,,,,,,,
"Santa Rosa, Guatemala",,,,,,,,,,,,
"Mityana, Uganda",,,,,,,,,,,,
"Yozgat, Turkey",,,,,,,,,,,,
"Coimbra, Portugal",,,,,,,,,,,,
"Laâyoune-Sakia El Hamra (EH-partial), Morocco",,,,,,,,,,,,
"Zeeland, Netherlands",,,,,,,,,,,,
"Soroti, Uganda",,,,,,,,,,,,
"Jalapa, Guatemala",,,,,,,,,,,,
"Kabarole, Uganda",,,,,,,,,,,,
"Sibiu, Romania",,,,,,,,,,,,
"Jubbada Dhexe, Somalia",,,,,,,,,,,,
"Kracheh [Krâchéh], Cambodia",,,,,,,,,,,,
"Vorarlberg, Austria",,,,,,,,,,,,
"Ma'rib, Yemen",,,,,,,,,,,,
"Brakna, Mauritania",,,,,,,,,,,,
"Plaines Wilhems, Mauritius",,,,,,,,,,,,
"Serere, Uganda",,,,,,,,,,,,
"Muş, Turkey",,,,,,,,,,,,
"Tacna, Peru",,,,,,,,,,,,
"Cankuzo, Burundi",,,,,,,,,,,,
"Hunedoara, Romania",,,,,,,,,,,,
"Jász-Nagykun-Szolnok, Hungary",,,,,,,,,,,,
"Ouaka, Central African Republic",,,,,,,,,,,,
"Mayabeque, Cuba",,,,,,,,,,,,
