longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Pavlodar oblysy, Kazakhstan",,,,,,,,,,,,
"Machinga, Malawi",,,,,,,,,,,,
"Tirol, Austria",,,,,,,,,,,,
"Cibao Sur, Dominican Republic",,,,,,,,,,,,
"Kajiado, Kenya",,,,,,,,,,,,
"Sarangani, Philippines",,,,,,,,,,,,
"Ratchaburi, Thailand",,,,,,,,,,,,
"Hebron, State of Palestine",,,,,,,,,,,,
"Nyeri, Kenya",,,,,,,,,,,,
"Tébessa, Algeria",,,,,,,,,,,,
"Maha Sarakham, Thailand",,,,,,,,,,,,
"San Juan, Argentina",,,,,,,,,,,,
"Iaşi, Romania",,,,,,,,,,,,
"Aḑ Ḑāli‘, Yemen",,,,,,,,,,,,
"Shabwah, Yemen",,,,,,,,,,,,
"Yên Bái, Vietnam",,,,,,,,,,,,
"Chimaltenango, Guatemala",,,,,,,,,,,,
"Mukono, Uganda",,,,,,,,,,,,
"Villa Clara, Cuba",,,,,,,,,,,,
"Embu, Kenya",,,,,,,,,,,,
"Dādra and Nagar Haveli and Damān and Diu, India",,,,,,,,,,,,
"Couffo, Benin",,,,,,,,,,,,
"Liban-Nord, Lebanon",,,,,,,,,,,,
"Oti, Ghana",,,,,,,,,,,,
"Kalimantan Utara, Indonesia",,,,,,,,,,,,
"Misamis Occidental, Philippines",,,,,,,,,,,,
"Tokusima, Japan",,,,,,,,,,,,
"Orlovskaya oblast', Russia",,,,,,,,,,,,
"Guárico, Venezuela",,,,,,,,,,,,
"Ţarţūs, Syria",,,,,,,,,,,,
"Togdheer, Somalia",,,,,,,,,,,,
"Kampong Chaam [Kâmpóng Cham], Cambodia",,,,,,,,,,,,
"Ayacucho, Peru",,,,,,,,,,,,
"Baringo, Kenya",,,,,,,,,,,,
"Zamboanga Sibugay, Philippines",,,,,,,,,,,,
"Mchinji, Malawi",,,,,,,,,,,,
"Itasy, Madagascar",,,,,,,,,,,,
"Arua, Uganda",,,,,,,,,,,,
"Jerusalem, State of Palestine",,,,,,,,,,,,
"Prahova, Romania",,,,,,,,,,,,
"Laghouat, Algeria",,,,,,,,,,,,
"Alaska, USA",0.9359515461104304,0.29034936143844237,0.10879431775982652,,,,0.14512608908156086,0.10430308202311488,0.04092019033376681,0.00924430159948908,0.07899817888670074,0.026624231783113614
"Río Negro, Argentina",,,,,,,,,,,,
"Southern Highlands, Papua New Guinea",,,,,,,,,,,,
"Surigao del Norte, Philippines",,,,,,,,,,,,
"Najrān, Saudi Arabia",,,,,,,,,,,,
"Trabzon, Turkey",,,,,,,,,,,,
"Lạng Sơn, Vietnam",,,,,,,,,,,,
"Hà Giang, Vietnam",,,,,,,,,,,,
"Namibe, Angola",,,,,,,,,,,,
"Sar-e Pul, Afghanistan",,,,,,,,,,,,
"Mono, Benin",,,,,,,,,,,,
"Amoron'i Mania, Madagascar",,,,,,,,,,,,
"Kaffrine, Senegal",,,,,,,,,,,,
"Zonguldak, Turkey",,,,,,,,,,,,
"Nyandarua, Kenya",,,,,,,,,,,,
"Sud-Est, Haiti",,,,,,,,,,,,
"Sidi Bel Abbès, Algeria",,,,,,,,,,,,
"Kôti, Japan",,,,,,,,,,,,
"Yumbe, Uganda",,,,,,,,,,,,
"Warrap, South Sudan",,,,,,,,,,,,
"Esmeraldas, Ecuador",,,,,,,,,,,,
"Semnān, Iran",,,,,,,,,,,,
"Abyan, Yemen",,,,,,,,,,,,
"Nur-Sultan, Kazakhstan",,,,,,,,,,,,
"Djibouti, Djibouti",,,,,,,,,,,,
"Donga, Benin",,,,,,,,,,,,
"Al Jawf, Yemen",,,,,,,,,,,,
"Al Baţḩā’, Chad",,,,,,,,,,,,
"Erevan, Armenia",,,,,,,,,,,,
"Bremen, Germany",,,,,,,,,,,,
"Tuyên Quang, Vietnam",,,,,,,,,,,,
"Murmanskaya oblast', Russia",,,,,,,,,,,,
"Matam, Senegal",,,,,,,,,,,,
"West Pokot, Kenya",,,,,,,,,,,,
"Ntcheu, Malawi",,,,,,,,,,,,
"Bujumbura Rural, Burundi",,,,,,,,,,,,
"Matanzas, Cuba",,,,,,,,,,,,
"Plateau, Benin",,,,,,,,,,,,
"Afyonkarahisar, Turkey",,,,,,,,,,,,
"Wardak, Afghanistan",,,,,,,,,,,,
"Bāmyān, Afghanistan",,,,,,,,,,,,
"Sivas, Turkey",,,,,,,,,,,,
"Timiş, Romania",,,,,,,,,,,,
"District of Columbia, USA",0.9240934088654649,0.5991839957453272,0.35049828178368975,,,,0.3191074354917731,0.202386046844864,0.07769051340869025,0.0050345607513102575,-0.011200075019909939,-0.0009257395294604565
"Cibao Nordeste, Dominican Republic",,,,,,,,,,,,
"Žilinský kraj, Slovakia",,,,,,,,,,,,
"Cluj, Romania",,,,,,,,,,,,
"El Oro, Ecuador",,,,,,,,,,,,
"Laghmān, Afghanistan",,,,,,,,,,,,
"Hòa Bình, Vietnam",,,,,,,,,,,,
"Niamey, Niger",,,,,,,,,,,,
"Kouilou, Congo",,,,,,,,,,,,
"Aargau, Switzerland",,,,,,,,,,,,
"Kohgīlūyeh va Bowyer Aḩmad, Iran",,,,,,,,,,,,
"Banjul, The Gambia",,,,,,,,,,,,
"Trujillo, Venezuela",,,,,,,,,,,,
"Agadez, Niger",,,,,,,,,,,,
"Lào Cai, Vietnam",,,,,,,,,,,,
"Vihiga, Kenya",,,,,,,,,,,,
"Itapúa, Paraguay",,,,,,,,,,,,
"Yuma, Dominican Republic",,,,,,,,,,,,
"Plovdiv, Bulgaria",,,,,,,,,,,,
"Nyamira, Kenya",,,,,,,,,,,,
"Ziguinchor, Senegal",,,,,,,,,,,,
"Nitriansky kraj, Slovakia",,,,,,,,,,,,
"Bioko Norte, Equatorial Guinea",,,,,,,,,,,,
"Adıyaman, Turkey",,,,,,,,,,,,
"Aklan, Philippines",,,,,,,,,,,,
"Severnaya Osetiya-Alaniya, Respublika, Russia",,,,,,,,,,,,
"Camarines Norte, Philippines",,,,,,,,,,,,
"Fryslân, Netherlands",,,,,,,,,,,,
"As Suways, Egypt",,,,,,,,,,,,
"Oslo, Norway",,,,,,,,,,,,
"Antique, Philippines",,,,,,,,,,,,
"Higuamo, Dominican Republic",,,,,,,,,,,,
"Ilocos Norte, Philippines",,,,,,,,,,,,
"Ordu, Turkey",,,,,,,,,,,,
"Banskobystrický kraj, Slovakia",,,,,,,,,,,,
"Bari, Somalia",,,,,,,,,,,,
"Enga, Papua New Guinea",,,,,,,,,,,,
"Simane, Japan",,,,,,,,,,,,
"Tororo, Uganda",,,,,,,,,,,,
"Cibitoke, Burundi",,,,,,,,,,,,
"Neuquén, Argentina",,,,,,,,,,,,
"Davao Oriental, Philippines",,,,,,,,,,,,
"Isingiro, Uganda",,,,,,,,,,,,
"Constanţa, Romania",,,,,,,,,,,,
"Harjumaa, Estonia",,,,,,,,,,,,
"Borsod-Abaúj-Zemplén, Hungary",,,,,,,,,,,,
"Surigao del Sur, Philippines",,,,,,,,,,,,
"Mbarara, Uganda",,,,,,,,,,,,
"Al Aḩmadī, Kuwait",,,,,,,,,,,,
"Ruyigi, Burundi",,,,,,,,,,,,
"Mudug, Somalia",,,,,,,,,,,,
"Kampong Thum [Kâmpóng Thum], Cambodia",,,,,,,,,,,,
"Chubut, Argentina",,,,,,,,,,,,
"Batman, Turkey",,,,,,,,,,,,
"Prachin Buri, Thailand",,,,,,,,,,,,
"Sikkim, India",,,,,,,,,,,,
"Mariy El, Respublika, Russia",,,,,,,,,,,,
"Maţrūḩ, Egypt",,,,,,,,,,,,
"Bongolava, Madagascar",,,,,,,,,,,,
"Elazığ, Turkey",,,,,,,,,,,,
"Vermont, USA",0.9403691629362781,0.3966686373645135,0.1616888176183001,,,,0.18172638714237255,0.16928555423898325,0.045656695983158704,0.030307130816444317,0.07232958814732315,0.045633174710361935
"Yaracuy, Venezuela",,,,,,,,,,,,
"Aveiro, Portugal",,,,,,,,,,,,
"Iganga, Uganda",,,,,,,,,,,,
"Wasaţ Dārfūr, Sudan",,,,,,,,,,,,
"Jowzjān, Afghanistan",,,,,,,,,,,,
"Chuquisaca, Bolivia",,,,,,,,,,,,
"Dolj, Romania",,,,,,,,,,,,
"Rīga, Latvia",,,,,,,,,,,,
"Caaguazú, Paraguay",,,,,,,,,,,,
"Madang, Papua New Guinea",,,,,,,,,,,,
"Makamba, Burundi",,,,,,,,,,,,
"Kríti, Greece",,,,,,,,,,,,
"Conakry, Guinea",,,,,,,,,,,,
"Al Buḩayrah, Chad",,,,,,,,,,,,
"Casanare, Colombia",,,,,,,,,,,,
"Hela, Papua New Guinea",,,,,,,,,,,,
"Unity, South Sudan",,,,,,,,,,,,
"Kunaṟ, Afghanistan",,,,,,,,,,,,
"Quảng Trị, Vietnam",,,,,,,,,,,,
"Raymah, Yemen",,,,,,,,,,,,
"Sukhothai, Thailand",,,,,,,,,,,,
"Ağrı, Turkey",,,,,,,,,,,,
"Bratislavský kraj, Slovakia",,,,,,,,,,,,
"Kostromskaya oblast', Russia",,,,,,,,,,,,
"Savannah, Ghana",,,,,,,,,,,,
"Mbale, Uganda",,,,,,,,,,,,
"Bizerte, Tunisia",,,,,,,,,,,,
"Antofagasta, Chile",,,,,,,,,,,,
"Kairouan, Tunisia",,,,,,,,,,,,
"Monastir, Tunisia",,,,,,,,,,,,
"Jihočeský kraj, Czech Republic",,,,,,,,,,,,
"Oruro, Bolivia",,,,,,,,,,,,
"Suchitepéquez, Guatemala",,,,,,,,,,,,
"Yoro, Honduras",,,,,,,,,,,,
"North East, Ghana",,,,,,,,,,,,
"Chanthaburi, Thailand",,,,,,,,,,,,
"Navarra, Comunidad Foral de, Spain",,,,,,,,,,,,
"Vestland, Norway",,,,,,,,,,,,
"Asunción, Paraguay",,,,,,,,,,,,
"Narathiwat, Thailand",,,,,,,,,,,,
"Al Mafraq, Jordan",,,,,,,,,,,,
"Tarija, Bolivia",,,,,,,,,,,,
"Mayuge, Uganda",,,,,,,,,,,,
"Kampot [Kâmpôt], Cambodia",,,,,,,,,,,,
"Nimba, Liberia",,,,,,,,,,,,
"Kāpīsā, Afghanistan",,,,,,,,,,,,
"Western Equatoria, South Sudan",,,,,,,,,,,,
"Şırnak, Turkey",,,,,,,,,,,,
"Kütahya, Turkey",,,,,,,,,,,,
"Olomoucký kraj, Czech Republic",,,,,,,,,,,,
"Canterbury, New Zealand",,,,,,,,,,,,
"Suceava, Romania",,,,,,,,,,,,
"Guelma, Algeria",,,,,,,,,,,,
"Gambēla Hizboch, Ethiopia",,,,,,,,,,,,
"Gaza, State of Palestine",,,,,,,,,,,,
"Paktīkā, Afghanistan",,,,,,,,,,,,
"Kamuli, Uganda",,,,,,,,,,,,
"Ninh Thuận, Vietnam",,,,,,,,,,,,
"Mindoro Occidental, Philippines",,,,,,,,,,,,
"Lunda-Sul, Angola",,,,,,,,,,,,
"Panamá Oest, Panama",,,,,,,,,,,,
"Quindío, Colombia",,,,,,,,,,,,
"Chimbu, Papua New Guinea",,,,,,,,,,,,
"Karuzi, Burundi",,,,,,,,,,,,
"Jiwaka, Papua New Guinea",,,,,,,,,,,,
"Ḩā'il, Saudi Arabia",,,,,,,,,,,,
"Anatolikí Makedonía kai Thráki, Greece",,,,,,,,,,,,
"Kirinyaga, Kenya",,,,,,,,,,,,
"Pskovskaya oblast', Russia",,,,,,,,,,,,
"Argeş, Romania",,,,,,,,,,,,
"Formosa, Argentina",,,,,,,,,,,,
"Lakes, South Sudan",,,,,,,,,,,,
"Ntungamo, Uganda",,,,,,,,,,,,
"Sīlā, Chad",,,,,,,,,,,,
"Salima, Malawi",,,,,,,,,,,,
"Dāykundī, Afghanistan",,,,,,,,,,,,
"Trenčiansky kraj, Slovakia",,,,,,,,,,,,
"Nordjylland, Denmark",,,,,,,,,,,,
"Batys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Sa Kaeo, Thailand",,,,,,,,,,,,
"Loei, Thailand",,,,,,,,,,,,
"Kon Tum, Vietnam",,,,,,,,,,,,
"Saint Andrew, Jamaica",,,,,,,,,,,,
"Çorum, Turkey",,,,,,,,,,,,
"Chişinău, Moldova",,,,,,,,,,,,
"Ouham-Pendé, Central African Republic",,,,,,,,,,,,
"Comayagua, Honduras",,,,,,,,,,,,
"Totonicapán, Guatemala",,,,,,,,,,,,
"Matagalpa, Nicaragua",,,,,,,,,,,,
"Çanakkale, Turkey",,,,,,,,,,,,
"Roraima, Brazil",,,,,,,,,,,,
"Olancho, Honduras",,,,,,,,,,,,
"Lōgar, Afghanistan",,,,,,,,,,,,
"Adrar, Algeria",,,,,,,,,,,,
"Hodh ech Chargui, Mauritania",,,,,,,,,,,,
"Tungurahua, Ecuador",,,,,,,,,,,,
"Bacău, Romania",,,,,,,,,,,,
"Osmaniye, Turkey",,,,,,,,,,,,
"Hajdú-Bihar, Hungary",,,,,,,,,,,,
"Kareliya, Respublika, Russia",,,,,,,,,,,,
"Wyoming, USA",0.9405400143582013,0.2708175656766003,0.10093084944574836,,,,0.12699220033340336,0.10627502038134382,0.037550344961852854,0.009088233249157529,0.028925419944112407,0.0011172269711497984
"Pinar del Río, Cuba",,,,,,,,,,,,
"Novgorodskaya oblast', Russia",,,,,,,,,,,,
"Plzeňský kraj, Czech Republic",,,,,,,,,,,,
"Tottori, Japan",,,,,,,,,,,,
"Canelones, Uruguay",,,,,,,,,,,,
"Ihorombe, Madagascar",,,,,,,,,,,,
"Connaught, Ireland",,,,,,,,,,,,
"Atlántida, Honduras",,,,,,,,,,,,
"Szabolcs-Szatmár-Bereg, Hungary",,,,,,,,,,,,
"Rutana, Burundi",,,,,,,,,,,,
"Bihor, Romania",,,,,,,,,,,,
"Bulawayo, Zimbabwe",,,,,,,,,,,,
"Pattani, Thailand",,,,,,,,,,,,
"Groningen, Netherlands",,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,
"Chikwawa, Malawi",,,,,,,,,,,,
"Kärnten, Austria",,,,,,,,,,,,
"East Sepik, Papua New Guinea",,,,,,,,,,,,
"Kyenjojo, Uganda",,,,,,,,,,,,
"Sédhiou, Senegal",,,,,,,,,,,,
"Luwero, Uganda",,,,,,,,,,,,
"Zlínský kraj, Czech Republic",,,,,,,,,,,,
"Trnavský kraj, Slovakia",,,,,,,,,,,,
"Nueva Esparta, Venezuela",,,,,,,,,,,,
"Kamwenge, Uganda",,,,,,,,,,,,
"Hiiraan, Somalia",,,,,,,,,,,,
"Saint Catherine, Jamaica",,,,,,,,,,,,
"Nabatîyé, Lebanon",,,,,,,,,,,,
"Ahafo, Ghana",,,,,,,,,,,,
"Santa Ana, El Salvador",,,,,,,,,,,,
"Hậu Giang, Vietnam",,,,,,,,,,,,
"Salzburg, Austria",,,,,,,,,,,,
"Cartago, Costa Rica",,,,,,,,,,,,
"Wellington, New Zealand",,,,,,,,,,,,
"Kauno apskritis, Lithuania",,,,,,,,,,,,
"Sololá, Guatemala",,,,,,,,,,,,
"Tasmania, Australia",,,,,,,,,,,,
"Nakhon Phanom, Thailand",,,,,,,,,,,,
"Cantabria, Spain",,,,,,,,,,,,
"Khakasiya, Respublika, Russia",,,,,,,,,,,,
"Pelopónnisos, Greece",,,,,,,,,,,,
"Tokat, Turkey",,,,,,,,,,,,
"Grande'Anse, Haiti",,,,,,,,,,,,
"Costa Caribe Norte, Nicaragua",,,,,,,,,,,,
"Nong Bua Lam Phu, Thailand",,,,,,,,,,,,
"Souk Ahras, Algeria",,,,,,,,,,,,
"Trang, Thailand",,,,,,,,,,,,
"Az Zāwiyah, Libya",,,,,,,,,,,,
"Jinotega, Nicaragua",,,,,,,,,,,,
"Mureş, Romania",,,,,,,,,,,,
"Las Tunas, Cuba",,,,,,,,,,,,
"Braşov, Romania",,,,,,,,,,,,
"Samangān, Afghanistan",,,,,,,,,,,,
"Cao Bằng, Vietnam",,,,,,,,,,,,
"Laikipia, Kenya",,,,,,,,,,,,
"Jinja, Uganda",,,,,,,,,,,,
"Kānim, Chad",,,,,,,,,,,,
"Eastern Samar, Philippines",,,,,,,,,,,,
"Maseru, Lesotho",,,,,,,,,,,,
"Královéhradecký kraj, Czech Republic",,,,,,,,,,,,
"Yamalo-Nenentskiy avtonomnyy okrug, Russia",,,,,,,,,,,,
"Uruzgān, Afghanistan",,,,,,,,,,,,
"Santa Bárbara, Honduras",,,,,,,,,,,,
"Caquetá, Colombia",,,,,,,,,,,,
"Phatthalung, Thailand",,,,,,,,,,,,
"Tak, Thailand",,,,,,,,,,,,
"Skopje, North Macedonia",,,,,,,,,,,,
"Haut-Ogooué, Gabon",,,,,,,,,,,,
"Karachayevo-Cherkesskaya Respublika, Russia",,,,,,,,,,,,
"San Luis, Argentina",,,,,,,,,,,,
"Buikwe, Uganda",,,,,,,,,,,,
"Atyraū oblysy, Kazakhstan",,,,,,,,,,,,
"Al Jawf, Saudi Arabia",,,,,,,,,,,,
"Huancavelica, Peru",,,,,,,,,,,,
"Stereá Elláda, Greece",,,,,,,,,,,,
"Heredia, Costa Rica",,,,,,,,,,,,
"Balkan, Turkmenistan",,,,,,,,,,,,
"Basilicata, Italy",,,,,,,,,,,,
"Galguduud, Somalia",,,,,,,,,,,,
"Dirē Dawa, Ethiopia",,,,,,,,,,,,
"Médenine, Tunisia",,,,,,,,,,,,
"Ramallah, State of Palestine",,,,,,,,,,,,
"Kagadi, Uganda",,,,,,,,,,,,
"Gedo, Somalia",,,,,,,,,,,,
"Guantánamo, Cuba",,,,,,,,,,,,
"Khorāsān-e Jonūbī, Iran",,,,,,,,,,,,
"Malta, Malta",,,,,,,,,,,,
"Galaţi, Romania",,,,,,,,,,,,
"Sankt Gallen, Switzerland",,,,,,,,,,,,
"Chiriquí, Panama",,,,,,,,,,,,
"Pirkanmaa, Finland",,,,,,,,,,,,
"Louangphabang, Laos",,,,,,,,,,,,
"Ysyk-Köl, Kyrgyzstan",,,,,,,,,,,,
"Newfoundland and Labrador, Canada",,,,0.8743111279712541,0.1981957578349738,0.05767194629018211,,,,,,
"Sanaag, Somalia",,,,,,,,,,,,
"Waikato, New Zealand",,,,,,,,,,,,
"Chimborazo, Ecuador",,,,,,,,,,,,
"Drenthe, Netherlands",,,,,,,,,,,,
"Izabal, Guatemala",,,,,,,,,,,,
"Elgeyo/Marakwet, Kenya",,,,,,,,,,,,
"Ouham, Central African Republic",,,,,,,,,,,,
"Jutiapa, Guatemala",,,,,,,,,,,,
"Artemisa, Cuba",,,,,,,,,,,,
"Apure, Venezuela",,,,,,,,,,,,
"Pardubický kraj, Czech Republic",,,,,,,,,,,,
"Sonsonate, El Salvador",,,,,,,,,,,,
"Bururi, Burundi",,,,,,,,,,,,
"Khenchela, Algeria",,,,,,,,,,,,
"Jeju-teukbyeoljachido, South Korea",,,,,,,,,,,,
"Salavan, Laos",,,,,,,,,,,,
"National Capital District (Port Moresby), Papua New Guinea",,,,,,,,,,,,
"Bugiri, Uganda",,,,,,,,,,,,
"Bakool, Somalia",,,,,,,,,,,,
"Shamāl Sīnā’, Egypt",,,,,,,,,,,,
"El Paraíso, Honduras",,,,,,,,,,,,
"Lira, Uganda",,,,,,,,,,,,
"Điện Biên, Vietnam",,,,,,,,,,,,
"Loja, Ecuador",,,,,,,,,,,,
"Chocó, Colombia",,,,,,,,,,,,
"Varna, Bulgaria",,,,,,,,,,,,
"Z̧ufār, Oman",,,,,,,,,,,,
"Melaky, Madagascar",,,,,,,,,,,,
"Al Marqab, Libya",,,,,,,,,,,,
"Ingushskaya, Respublika, Russia",,,,,,,,,,,,
"Imereti, Georgia",,,,,,,,,,,,
"Kampong Chhnang [Kâmpóng Chhnang], Cambodia",,,,,,,,,,,,
"Vysočina, Czech Republic",,,,,,,,,,,,
"Ñuble, Chile",,,,,,,,,,,,
"Đắk Nông, Vietnam",,,,,,,,,,,,
"Dâmboviţa, Romania",,,,,,,,,,,,
"Chin, Myanmar",,,,,,,,,,,,
"Bács-Kiskun, Hungary",,,,,,,,,,,,
"Batken, Kyrgyzstan",,,,,,,,,,,,
"Nueva Vizcaya, Philippines",,,,,,,,,,,,
"Cuando Cubango, Angola",,,,,,,,,,,,
"Phichit, Thailand",,,,,,,,,,,,
"Awdal, Somalia",,,,,,,,,,,,
"Western Highlands, Papua New Guinea",,,,,,,,,,,,
"Haute-Sangha/Mambéré-Kadéï, Central African Republic",,,,,,,,,,,,
"Chumphon, Thailand",,,,,,,,,,,,
"Lamphun, Thailand",,,,,,,,,,,,
"Genève, Switzerland",,,,,,,,,,,,
"Oyam, Uganda",,,,,,,,,,,,
"Cotopaxi, Ecuador",,,,,,,,,,,,
"Phrae, Thailand",,,,,,,,,,,,
"Apac, Uganda",,,,,,,,,,,,
"Uttaradit, Thailand",,,,,,,,,,,,
"Maracha, Uganda",,,,,,,,,,,,
"Ghardaïa, Algeria",,,,,,,,,,,,
"Janūb al Bāţinah, Oman",,,,,,,,,,,,
"Naxçıvan, Azerbaijan",,,,,,,,,,,,
"Rogaland, Norway",,,,,,,,,,,,
"Lefkosia [Lefkoşa], Cyprus",,,,,,,,,,,,
"Maramureş, Romania",,,,,,,,,,,,
"Phetchaburi, Thailand",,,,,,,,,,,,
"Ucayali, Peru",,,,,,,,,,,,
"Oudômxai, Laos",,,,,,,,,,,,
"Varsinais-Suomi, Finland",,,,,,,,,,,,
"Khammouan, Laos",,,,,,,,,,,,
"Ben Arous, Tunisia",,,,,,,,,,,,
"Imbabura, Ecuador",,,,,,,,,,,,
"Puntarenas, Costa Rica",,,,,,,,,,,,
"Northern Bahr el-Ghazal, South Sudan",,,,,,,,,,,,
"Kotayk', Armenia",,,,,,,,,,,,
"San Pedro, Paraguay",,,,,,,,,,,,
"Ra's al Khaymah, United Arab Emirates",,,,,,,,,,,,
"Bubanza, Burundi",,,,,,,,,,,,
"Southern Leyte, Philippines",,,,,,,,,,,,
"Gyór-Moson-Sopron, Hungary",,,,,,,,,,,,
"Kasserine, Tunisia",,,,,,,,,,,,
"Faro, Portugal",,,,,,,,,,,,
"Aïn Témouchent, Algeria",,,,,,,,,,,,
"Isparta, Turkey",,,,,,,,,,,,
"Kyegegwa, Uganda",,,,,,,,,,,,
"Choluteca, Honduras",,,,,,,,,,,,
"Sidi Bouzid, Tunisia",,,,,,,,,,,,
"Santo Domingo de los Tsáchilas, Ecuador",,,,,,,,,,,,
"Sakhalinskaya oblast', Russia",,,,,,,,,,,,
"Trøndelag, Norway",,,,,,,,,,,,
"Ciego de Ávila, Cuba",,,,,,,,,,,,
"Costa Caribe Sur, Nicaragua",,,,,,,,,,,,
"Östergötlands län, Sweden",,,,,,,,,,,,
"Sancti Spíritus, Cuba",,,,,,,,,,,,
"El Beni, Bolivia",,,,,,,,,,,,
"San Miguel, El Salvador",,,,,,,,,,,,
"Al Wādī al Jadīd, Egypt",,,,,,,,,,,,
"Nebbi, Uganda",,,,,,,,,,,,
"Al Baḩr al Aḩmar, Egypt",,,,,,,,,,,,
"Al Awsaţ, Eritrea",,,,,,,,,,,,
"Nišavski okrug, Serbia",,,,,,,,,,,,
"Bengo, Angola",,,,,,,,,,,,
"Masaya, Nicaragua",,,,,,,,,,,,
"Leiria, Portugal",,,,,,,,,,,,
"Svaay Rieng [Svay Riĕng], Cambodia",,,,,,,,,,,,
"Īlām, Iran",,,,,,,,,,,,
"Edirne, Turkey",,,,,,,,,,,,
"Flevoland, Netherlands",,,,,,,,,,,,
"Prachuap Khiri Khan, Thailand",,,,,,,,,,,,
"Adygeya, Respublika, Russia",,,,,,,,,,,,
"Buyende, Uganda",,,,,,,,,,,,
"Mahdia, Tunisia",,,,,,,,,,,,
"Kayunga, Uganda",,,,,,,,,,,,
"Splitsko-dalmatinska županija, Croatia",,,,,,,,,,,,
"Al Jahrā’, Kuwait",,,,,,,,,,,,
"Phayao, Thailand",,,,,,,,,,,,
"Cibao Noroeste, Dominican Republic",,,,,,,,,,,,
"Neamţ, Romania",,,,,,,,,,,,
"'Ajmān, United Arab Emirates",,,,,,,,,,,,
"Nord-Est, Haiti",,,,,,,,,,,,
"Fejér, Hungary",,,,,,,,,,,,
"Kakumiro, Uganda",,,,,,,,,,,,
"Limón, Costa Rica",,,,,,,,,,,,
"Chiquimula, Guatemala",,,,,,,,,,,,
"Nan, Thailand",,,,,,,,,,,,
"Buzău, Romania",,,,,,,,,,,,
"Osh Shaary, Kyrgyzstan",,,,,,,,,,,,
"Kaesong Industrial Region, North Korea",,,,,,,,,,,,
"Ileía, Greece",,,,,,,,,,,,
"Enriquillo, Dominican Republic",,,,,,,,,,,,
"Mişrātah, Libya",,,,,,,,,,,,
"Kiruhura, Uganda",,,,,,,,,,,,
"Vestfold og Telemark, Norway",,,,,,,,,,,,
"Xaignabouli, Laos",,,,,,,,,,,,
"Nkhotakota, Malawi",,,,,,,,,,,,
"Catamarca, Argentina",,,,,,,,,,,,
"Salāmāt, Chad",,,,,,,,,,,,
"Liberecký kraj, Czech Republic",,,,,,,,,,,,
"Rumonge, Burundi",,,,,,,,,,,,
"Amnat Charoen, Thailand",,,,,,,,,,,,
"Copán, Honduras",,,,,,,,,,,,
"Al Bāḩah, Saudi Arabia",,,,,,,,,,,,
"Beyrouth, Lebanon",,,,,,,,,,,,
"Ntchisi, Malawi",,,,,,,,,,,,
"Karonga, Malawi",,,,,,,,,,,,
"Los Ríos, Chile",,,,,,,,,,,,
"Busia, Uganda",,,,,,,,,,,,
"Bong, Liberia",,,,,,,,,,,,
"Balaka, Malawi",,,,,,,,,,,,
"Baalbek-Hermel, Lebanon",,,,,,,,,,,,
"Guelmim-Oued Noun (EH-partial), Morocco",,,,,,,,,,,,
"Andjazîdja [Grande Comore], Comoros",,,,,,,,,,,,
"An Nuqāţ al Khams, Libya",,,,,,,,,,,,
"Chinandega, Nicaragua",,,,,,,,,,,,
"Sulu, Philippines",,,,,,,,,,,,
"Ilfov, Romania",,,,,,,,,,,,
"Cienfuegos, Cuba",,,,,,,,,,,,
"Baḩr al Ghazāl, Chad",,,,,,,,,,,,
"Santarém, Portugal",,,,,,,,,,,,
"Cuanza-Norte, Angola",,,,,,,,,,,,
"Nong Khai, Thailand",,,,,,,,,,,,
"La Rioja, Argentina",,,,,,,,,,,,
"Muramvya, Burundi",,,,,,,,,,,,
"Luzern, Switzerland",,,,,,,,,,,,
"Arad, Romania",,,,,,,,,,,,
"Düzce, Turkey",,,,,,,,,,,,
"El Tarf, Algeria",,,,,,,,,,,,
"Olt, Romania",,,,,,,,,,,,
"Zābul, Afghanistan",,,,,,,,,,,,
"Mukdahan, Thailand",,,,,,,,,,,,
"Khomas, Namibia",,,,,,,,,,,,
"Yala, Thailand",,,,,,,,,,,,
"Assaba, Mauritania",,,,,,,,,,,,
"Kvemo Kartli, Georgia",,,,,,,,,,,,
"Gabès, Tunisia",,,,,,,,,,,,
"Tharaka-Nithi, Kenya",,,,,,,,,,,,
"Santa Elena, Ecuador",,,,,,,,,,,,
"Amazonas, Peru",,,,,,,,,,,,
"Aksaray, Turkey",,,,,,,,,,,,
"Apurímac, Peru",,,,,,,,,,,,
"Yamoussoukro, Ivory Coast",,,,,,,,,,,,
"Putumayo, Colombia",,,,,,,,,,,,
"Saïda, Algeria",,,,,,,,,,,,
"Burgas, Bulgaria",,,,,,,,,,,,
"Pohjois-Pohjanmaa, Finland",,,,,,,,,,,,
"Kweneng, Botswana",,,,,,,,,,,,
"Al Ḩudūd ash Shamālīyah, Saudi Arabia",,,,,,,,,,,,
"Santa Cruz, Argentina",,,,,,,,,,,,
"Béqaa, Lebanon",,,,,,,,,,,,
