longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"El Callao, Peru",,,,,,,,,,,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,,,,,,,,,,
"Saskatchewan, Canada",,,,,,,0.4796921534803435,,0.3589771861936061,,0.1250834226925943,,0.03624723763345608,,,,,,,
"Būshehr, Iran",,,,,,,,,,,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,,,,,,,,,,
"Rhode Island, USA",0.8570963318926174,0.0035765625855074135,0.02978392433469809,0.020470122419138214,0.08029943928862744,0.2658004362024672,,0.3875183158049613,,0.27425100629730315,,0.07243024169526845,,0.0886739974866216,0.9113260025133785,0.5533861350626159,5.368713978800416e-05,1.1940603246567988e-05,589.0,131.0
"Constantine, Algeria",,,,,,,,,,,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,,,,,,,,,,
"Montana, USA",0.8350524603560069,0.012205416406484905,0.04254453926624841,0.006818689917281468,0.0943708226369704,0.4601001911036806,,0.3585619980336295,,0.13605602870385686,,0.045281782158833064,,0.04761031980773542,0.9523896801922647,0.6830835706479761,0.00018870621872766263,1.6325024787290463e-05,2046.0,177.0
"Kurskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,
"Viangchan, Laos",,,,,,,,,,,,,,,,,,,,
"Santiago de Cuba, Cuba",,,,,,,,,,,,,,,,,,,,
"Sakarya, Turkey",,,,,,,,,,,,,,,,,,,,
"Qom, Iran",,,,,,,,,,,,,,,,,,,,
"Mahilioŭskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Ulsan-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Arkhangel'skaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Sultan Kudarat, Philippines",,,,,,,,,,,,,,,,,,,,
"Al Lādhiqīyah, Syria",,,,,,,,,,,,,,,,,,,,
"Kaolack, Senegal",,,,,,,,,,,,,,,,,,,,
"Ghōr, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Maguindanao, Philippines",,,,,,,,,,,,,,,,,,,,
"Sumska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Hrodzienskaja voblasć, Belarus",,,,,,,,,,,,,,,,,,,,
"Zanzan, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Savannakhét, Laos",,,,,,,,,,,,,,,,,,,,
"Muğla, Turkey",,,,,,,,,,,,,,,,,,,,
"Toyama, Japan",,,,,,,,,,,,,,,,,,,,
"Ternopilska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Kaluzhskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Khōst, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Trentino-Alto Adige, Italy",,,,,,,,,,,,,,,,,,,,
"Holguín, Cuba",,,,,,,,,,,,,,,,,,,,
"Thessalía, Greece",,,,,,,,,,,,,,,,,,,,
"Lindi, Tanzania",,,,,,,,,,,,,,,,,,,,
"Roi Et, Thailand",,,,,,,,,,,,,,,,,,,,
"Tambovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Murang'a, Kenya",,,,,,,,,,,,,,,,,,,,
"Lubuskie, Poland",,,,,,,,,,,,,,,,,,,,
"Udon Thani, Thailand",,,,,,,,,,,,,,,,,,,,
"Khersonska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Astrakhanskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Gilgit-Baltistan, Pakistan",,,,,,,,,,,,,,,,,,,,
"Muyinga, Burundi",,,,,,,,,,,,,,,,,,,,
"Darٰā, Syria",,,,,,,,,,,,,,,,,,,,
"Monagas, Venezuela",,,,,,,,,,,,,,,,,,,,
"Bay, Somalia",,,,,,,,,,,,,,,,,,,,
"Chahār Maḩāl va Bakhtīārī, Iran",,,,,,,,,,,,,,,,,,,,
"Surat Thani, Thailand",,,,,,,,,,,,,,,,,,,,
"Lunda-Norte, Angola",,,,,,,,,,,,,,,,,,,,
"Woroba, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Estuaire, Gabon",,,,,,,,,,,,,,,,,,,,
"Fatick, Senegal",,,,,,,,,,,,,,,,,,,,
"Upper Nile, South Sudan",,,,,,,,,,,,,,,,,,,,
"Tombouctou, Mali",,,,,,,,,,,,,,,,,,,,
"Phú Thọ, Vietnam",,,,,,,,,,,,,,,,,,,,
"Bern, Switzerland",,,,,,,,,,,,,,,,,,,,
"Tomskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Ar Rayyān, Qatar",,,,,,,,,,,,,,,,,,,,
"Cascades, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Mostaganem, Algeria",,,,,,,,,,,,,,,,,,,,
"Nandi, Kenya",,,,,,,,,,,,,,,,,,,,
"Asturias, Principado de, Spain",,,,,,,,,,,,,,,,,,,,
"Volynska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Chandigarh, India",,,,,,,,,,,,,,,,,,,,
"Mindoro Oriental, Philippines",,,,,,,,,,,,,,,,,,,,
"Nakhon Pathom, Thailand",,,,,,,,,,,,,,,,,,,,
"Lop Buri, Thailand",,,,,,,,,,,,,,,,,,,,
"Yerushalayim, Israel",,,,,,,,,,,,,,,,,,,,
"Uturu paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Bujumbura Mairie, Burundi",,,,,,,,,,,,,,,,,,,,
"Gitega, Burundi",,,,,,,,,,,,,,,,,,,,
"Zou, Benin",,,,,,,,,,,,,,,,,,,,
"Aşgabat, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Béjaïa, Algeria",,,,,,,,,,,,,,,,,,,,
"Otdar Mean Chey [Ŏtdâr Méan Choăy], Cambodia",,,,,,,,,,,,,,,,,,,,
"Kaliningradskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Libertador General Bernardo O'Higgins, Chile",,,,,,,,,,,,,,,,,,,,
"Saarland, Germany",,,,,,,,,,,,,,,,,,,,
"Santiago del Estero, Argentina",,,,,,,,,,,,,,,,,,,,
"Al Balqā’, Jordan",,,,,,,,,,,,,,,,,,,,
"Tabūk, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Delaware, USA",0.8493650110465061,0.0032532154938415825,0.020579945929657884,0.01996964407502025,0.09835597921587844,0.2510308784120484,,0.40651359910479956,,0.2606327134513858,,0.0818228090317663,,0.05870857610470879,0.9412914238952911,0.5989142263445671,0.0001254771059847124,3.3137271145721156e-05,1242.0,328.0
"Akita, Japan",,,,,,,,,,,,,,,,,,,,
"Biskra, Algeria",,,,,,,,,,,,,,,,,,,,
"South East, Singapore",,,,,,,,,,,,,,,,,,,,
"East, Cameroon",,,,,,,,,,,,,,,,,,,,
"Baja California Sur, Mexico",,,,,,,,,,,,,,,,,,,,
"Lima, Peru",,,,,,,,,,,,,,,,,,,,
"Aïn Defla, Algeria",,,,,,,,,,,,,,,,,,,,
"L'Ariana, Tunisia",,,,,,,,,,,,,,,,,,,,
"Tiranë, Albania",,,,,,,,,,,,,,,,,,,,
"Yazd, Iran",,,,,,,,,,,,,,,,,,,,
"Siaya, Kenya",,,,,,,,,,,,,,,,,,,,
"Extremadura, Spain",,,,,,,,,,,,,,,,,,,,
"Kara, Togo",,,,,,,,,,,,,,,,,,,,
"Kagawa, Japan",,,,,,,,,,,,,,,,,,,,
"Muchinga, Zambia",,,,,,,,,,,,,,,,,,,,
"Kirundo, Burundi",,,,,,,,,,,,,,,,,,,,
"Falcón, Venezuela",,,,,,,,,,,,,,,,,,,,
"Nova Scotia, Canada",,,,,,,0.38879962443597416,,0.3724086644235567,,0.19558173947384722,,0.04320997166662203,,,,,,,
"Ivanovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Campeche, Mexico",,,,,,,,,,,,,,,,,,,,
"Phitsanulok, Thailand",,,,,,,,,,,,,,,,,,,,
"Western, The Gambia",,,,,,,,,,,,,,,,,,,,
"Buryatiya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Ninh Bình, Vietnam",,,,,,,,,,,,,,,,,,,,
"Réunion, France",,,,,,,,,,,,,,,,,,,,
"Nay Pyi Taw, Myanmar",,,,,,,,,,,,,,,,,,,,
"Sucre, Venezuela",,,,,,,,,,,,,,,,,,,,
"Mascara, Algeria",,,,,,,,,,,,,,,,,,,,
"Opolskie, Poland",,,,,,,,,,,,,,,,,,,,
"Centre-Sud, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Ash Shamālīyah, Sudan",,,,,,,,,,,,,,,,,,,,
"Zomba, Malawi",,,,,,,,,,,,,,,,,,,,
"Ad Dawḩah, Qatar",,,,,,,,,,,,,,,,,,,,
"H̱efa, Israel",,,,,,,,,,,,,,,,,,,,
"Al Jafārah, Libya",,,,,,,,,,,,,,,,,,,,
"Trà Vinh, Vietnam",,,,,,,,,,,,,,,,,,,,
"Likouala, Congo",,,,,,,,,,,,,,,,,,,,
"Sakon Nakhon, Thailand",,,,,,,,,,,,,,,,,,,,
"Vĩnh Phúc, Vietnam",,,,,,,,,,,,,,,,,,,,
"Eskişehir, Turkey",,,,,,,,,,,,,,,,,,,,
"Quetzaltenango, Guatemala",,,,,,,,,,,,,,,,,,,,
"Los Ríos, Ecuador",,,,,,,,,,,,,,,,,,,,
"Melaka, Malaysia",,,,,,,,,,,,,,,,,,,,
"San Martín, Peru",,,,,,,,,,,,,,,,,,,,
"Smolenskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Potosí, Bolivia",,,,,,,,,,,,,,,,,,,,
"Banghāzī, Libya",,,,,,,,,,,,,,,,,,,,
"Thyolo, Malawi",,,,,,,,,,,,,,,,,,,,
"Sakha, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Plateau Central, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Nord-Ouest, Haiti",,,,,,,,,,,,,,,,,,,,
"Kasungu, Malawi",,,,,,,,,,,,,,,,,,,,
"Risaralda, Colombia",,,,,,,,,,,,,,,,,,,,
"Zambales, Philippines",,,,,,,,,,,,,,,,,,,,
"Kayanza, Burundi",,,,,,,,,,,,,,,,,,,,
"Dedza, Malawi",,,,,,,,,,,,,,,,,,,,
"Mordoviya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Mubende, Uganda",,,,,,,,,,,,,,,,,,,,
"North-Western, Zambia",,,,,,,,,,,,,,,,,,,,
"Lūghūn al Gharbī, Chad",,,,,,,,,,,,,,,,,,,,
"Navoiy, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Al Muthanná, Iraq",,,,,,,,,,,,,,,,,,,,
"Benguet, Philippines",,,,,,,,,,,,,,,,,,,,
"Al Bayḑā’, Yemen",,,,,,,,,,,,,,,,,,,,
"Rayong, Thailand",,,,,,,,,,,,,,,,,,,,
"Al Farwānīyah, Kuwait",,,,,,,,,,,,,,,,,,,,
"Toshkent (City), Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Suphan Buri, Thailand",,,,,,,,,,,,,,,,,,,,
"Janūb Kurdufān, Sudan",,,,,,,,,,,,,,,,,,,,
"Zaire, Angola",,,,,,,,,,,,,,,,,,,,
"Barinas, Venezuela",,,,,,,,,,,,,,,,,,,,
"Qāsh-Barkah, Eritrea",,,,,,,,,,,,,,,,,,,,
"Bạc Liêu, Vietnam",,,,,,,,,,,,,,,,,,,,
"Matebeleland North, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Kirovohradska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Setúbal, Portugal",,,,,,,,,,,,,,,,,,,,
"Meta, Colombia",,,,,,,,,,,,,,,,,,,,
"Al ‘Āşimah, Kuwait",,,,,,,,,,,,,,,,,,,,
"Atacora, Benin",,,,,,,,,,,,,,,,,,,,
"Tbong Khmum [Tbong Khmŭm], Cambodia",,,,,,,,,,,,,,,,,,,,
"Khorāsān-e Shomālī, Iran",,,,,,,,,,,,,,,,,,,,
"Menabe, Madagascar",,,,,,,,,,,,,,,,,,,,
"Portuguesa, Venezuela",,,,,,,,,,,,,,,,,,,,
"Relizane, Algeria",,,,,,,,,,,,,,,,,,,,
"Médéa, Algeria",,,,,,,,,,,,,,,,,,,,
"Busia, Kenya",,,,,,,,,,,,,,,,,,,,
"Zanjān, Iran",,,,,,,,,,,,,,,,,,,,
"Nakhon Sawan, Thailand",,,,,,,,,,,,,,,,,,,,
"Bādghīs, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Phú Yên, Vietnam",,,,,,,,,,,,,,,,,,,,
"Caldas, Colombia",,,,,,,,,,,,,,,,,,,,
"Umbria, Italy",,,,,,,,,,,,,,,,,,,,
"Kwale, Kenya",,,,,,,,,,,,,,,,,,,,
"South, Cameroon",,,,,,,,,,,,,,,,,,,,
"Acre, Brazil",,,,,,,,,,,,,,,,,,,,
"Kalasin, Thailand",,,,,,,,,,,,,,,,,,,,
"Māndūl, Chad",,,,,,,,,,,,,,,,,,,,
"Azuay, Ecuador",,,,,,,,,,,,,,,,,,,,
"Sorsogon, Philippines",,,,,,,,,,,,,,,,,,,,
"Hà Nam, Vietnam",,,,,,,,,,,,,,,,,,,,
"Ouargla, Algeria",,,,,,,,,,,,,,,,,,,,
"Aqtöbe oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"South Dakota, USA",0.8740826382083164,0.004760119770755355,0.03302050825794939,0.004202363801411733,0.07732033257611043,0.4852657211732648,,0.35570049314129465,,0.12741155884044475,,0.03162222684499586,,0.049144106495766546,0.9508558935042335,0.6646933445929335,0.0001475187415343077,1.2067664636216304e-05,1308.0,107.0
"Mjini Magharibi, Tanzania",,,,,,,,,,,,,,,,,,,,
"Sud-Ouest, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Bomet, Kenya",,,,,,,,,,,,,,,,,,,,
"Surin, Thailand",,,,,,,,,,,,,,,,,,,,
"Mardin, Turkey",,,,,,,,,,,,,,,,,,,,
"Aqmola oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Wakayama, Japan",,,,,,,,,,,,,,,,,,,,
"Diffa, Niger",,,,,,,,,,,,,,,,,,,,
"Quảng Bình, Vietnam",,,,,,,,,,,,,,,,,,,,
"Parwān, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Samar, Philippines",,,,,,,,,,,,,,,,,,,,
"Huánuco, Peru",,,,,,,,,,,,,,,,,,,,
"Amapá, Brazil",,,,,,,,,,,,,,,,,,,,
"Prey Veaeng [Prey Vêng], Cambodia",,,,,,,,,,,,,,,,,,,,
"Ngozi, Burundi",,,,,,,,,,,,,,,,,,,,
"Jubbada Hoose, Somalia",,,,,,,,,,,,,,,,,,,,
"Njombe, Tanzania",,,,,,,,,,,,,,,,,,,,
"Tambacounda, Senegal",,,,,,,,,,,,,,,,,,,,
"Coquimbo, Chile",,,,,,,,,,,,,,,,,,,,
"Zamboanga City, Philippines",,,,,,,,,,,,,,,,,,,,
"Al ‘Āşimah, Bahrain",,,,,,,,,,,,,,,,,,,,
"Shimālī al Baḩrī al Aḩmar, Eritrea",,,,,,,,,,,,,,,,,,,,
"Nabeul, Tunisia",,,,,,,,,,,,,,,,,,,,
"Kasese, Uganda",,,,,,,,,,,,,,,,,,,,
"Centrale, Togo",,,,,,,,,,,,,,,,,,,,
"Centre, Haiti",,,,,,,,,,,,,,,,,,,,
"Ar Raqqah, Syria",,,,,,,,,,,,,,,,,,,,
"Bouira, Algeria",,,,,,,,,,,,,,,,,,,,
"Alto Paraná, Paraguay",,,,,,,,,,,,,,,,,,,,
"Tānjīlī, Chad",,,,,,,,,,,,,,,,,,,,
"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,,,,,,,,,,,,,,
"La Union, Philippines",,,,,,,,,,,,,,,,,,,,
"Si sa ket, Thailand",,,,,,,,,,,,,,,,,,,,
"Champasak, Laos",,,,,,,,,,,,,,,,,,,,
"Mila, Algeria",,,,,,,,,,,,,,,,,,,,
"Sucre, Colombia",,,,,,,,,,,,,,,,,,,,
"Jijel, Algeria",,,,,,,,,,,,,,,,,,,,
"Kabardino-Balkarskaya Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Sud, Haiti",,,,,,,,,,,,,,,,,,,,
"Taakaev [Takêv], Cambodia",,,,,,,,,,,,,,,,,,,,
"Qostanay oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Granma, Cuba",,,,,,,,,,,,,,,,,,,,
"Petén, Guatemala",,,,,,,,,,,,,,,,,,,,
"Davao de Oro, Philippines",,,,,,,,,,,,,,,,,,,,
"Vilniaus apskritis, Lithuania",,,,,,,,,,,,,,,,,,,,
"Mamou, Guinea",,,,,,,,,,,,,,,,,,,,
"Prešovský kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Katavi, Tanzania",,,,,,,,,,,,,,,,,,,,
"Saga, Japan",,,,,,,,,,,,,,,,,,,,
"Paktiyā, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Agusan del Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Phetchabun, Thailand",,,,,,,,,,,,,,,,,,,,
"Saraburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Collines, Benin",,,,,,,,,,,,,,,,,,,,
"Chüy, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Shārī al Awsaṭ, Chad",,,,,,,,,,,,,,,,,,,,
"Western North, Ghana",,,,,,,,,,,,,,,,,,,,
"Kamphaeng Phet, Thailand",,,,,,,,,,,,,,,,,,,,
"Ica, Peru",,,,,,,,,,,,,,,,,,,,
"Ahal, Turkmenistan",,,,,,,,,,,,,,,,,,,,
"Gharb Dārfūr, Sudan",,,,,,,,,,,,,,,,,,,,
"Bataan, Philippines",,,,,,,,,,,,,,,,,,,,
"Vaud, Switzerland",,,,,,,,,,,,,,,,,,,,
"Yamanasi, Japan",,,,,,,,,,,,,,,,,,,,
"Kolda, Senegal",,,,,,,,,,,,,,,,,,,,
"Oum el Bouaghi, Algeria",,,,,,,,,,,,,,,,,,,,
"Matebeleland South, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Shamāl al Bāţinah, Oman",,,,,,,,,,,,,,,,,,,,
"Upper West, Ghana",,,,,,,,,,,,,,,,,,,,
"Al Janūbī, Eritrea",,,,,,,,,,,,,,,,,,,,
"Košický kraj, Slovakia",,,,,,,,,,,,,,,,,,,,
"Gao, Mali",,,,,,,,,,,,,,,,,,,,
"Capiz, Philippines",,,,,,,,,,,,,,,,,,,,
"Shārī Bāqirmī, Chad",,,,,,,,,,,,,,,,,,,,
"Sirdaryo, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Phuket, Thailand",,,,,,,,,,,,,,,,,,,,
"Litoral, Equatorial Guinea",,,,,,,,,,,,,,,,,,,,
"Chaiyaphum, Thailand",,,,,,,,,,,,,,,,,,,,
"Liban-Sud, Lebanon",,,,,,,,,,,,,,,,,,,,
"Ḥajjar Lamīs, Chad",,,,,,,,,,,,,,,,,,,,
"Kurganskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Northern Samar, Philippines",,,,,,,,,,,,,,,,,,,,
"Agusan del Norte, Philippines",,,,,,,,,,,,,,,,,,,,
"Kanchanaburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Colima, Mexico",,,,,,,,,,,,,,,,,,,,
"Banteay Mean Choăy [Bântéay Méanchey], Cambodia",,,,,,,,,,,,,,,,,,,,
"Ústecký kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"El Oued, Algeria",,,,,,,,,,,,,,,,,,,,
"Al Maḩwīt, Yemen",,,,,,,,,,,,,,,,,,,,
"Tbilisi, Georgia",,,,,,,,,,,,,,,,,,,,
"Sjælland, Denmark",,,,,,,,,,,,,,,,,,,,
"Māyū Kībbī al Gharbī, Chad",,,,,,,,,,,,,,,,,,,,
"Lampang, Thailand",,,,,,,,,,,,,,,,,,,,
"Bordj Bou Arréridj, Algeria",,,,,,,,,,,,,,,,,,,,
"Mulanje, Malawi",,,,,,,,,,,,,,,,,,,,
"Ryanggang-do [Ryangkangto], North Korea",,,,,,,,,,,,,,,,,,,,
"Kampong Spueu [Kâmpóng Spœ], Cambodia",,,,,,,,,,,,,,,,,,,,
"Ţarābulus, Libya",,,,,,,,,,,,,,,,,,,,
"Eastern Highlands, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
